date,score,regime
2024-11-26,-0.1704445628186919,BALANCED
2024-11-27,-0.14196036555448646,BALANCED
2024-11-28,0.3810757378588955,BALANCED
2024-11-29,-0.1629519633290103,BALANCED
2024-11-30,-0.22581846688820878,BALANCED
2024-12-01,0.21825169573887898,BALANCED
2024-12-02,-0.6423448684219772,WEAK_RISK_ON_ALTS
2024-12-03,-0.5866405083853414,WEAK_RISK_ON_ALTS
2024-12-04,-0.4261083224237303,WEAK_RISK_ON_ALTS
2024-12-05,-0.4790930794699921,WEAK_RISK_ON_ALTS
2024-12-06,-0.5596059395865634,WEAK_RISK_ON_ALTS
2024-12-07,-0.04993800462838982,BALANCED
2024-12-08,-0.43487949865554265,BALANCED
2024-12-09,-0.5144334999124829,WEAK_RISK_ON_ALTS
2024-12-10,-0.2222354373118903,WEAK_RISK_ON_ALTS
2024-12-11,-0.7365478075397254,WEAK_RISK_ON_ALTS
2024-12-12,-0.027044302978097554,BALANCED
2024-12-13,-0.014886356012271215,BALANCED
2024-12-14,-0.05697267343665933,BALANCED
2024-12-15,-0.5577525564581682,WEAK_RISK_ON_ALTS
2024-12-16,-0.2538281089368091,WEAK_RISK_ON_ALTS
2024-12-17,-0.4551592616564461,WEAK_RISK_ON_ALTS
2024-12-18,-0.5495170770161764,WEAK_RISK_ON_ALTS
2024-12-19,-0.5535606733450961,WEAK_RISK_ON_ALTS
2024-12-20,-0.4099186988955213,WEAK_RISK_ON_ALTS
2024-12-21,-0.061512870512063174,BALANCED
2024-12-22,-0.17734530679933563,BALANCED
2024-12-23,-0.3085417652532706,BALANCED
2024-12-24,-0.03485469634614674,BALANCED
2024-12-25,0.1596034682027443,BALANCED
2024-12-26,-0.2800822652475728,BALANCED
2024-12-27,-0.2808246934651235,BALANCED
2024-12-28,-0.13641661720099613,BALANCED
2024-12-29,0.1441636737289733,BALANCED
2024-12-30,-0.33713674978343705,BALANCED
2024-12-31,-0.24400422069820907,BALANCED
2025-01-01,-0.2998407078374881,BALANCED
2025-01-02,-0.05014222468716204,BALANCED
2025-01-03,0.03528669997891247,BALANCED
2025-01-04,0.10621714623776017,BALANCED
2025-01-05,-0.09099713610414177,BALANCED
2025-01-06,-0.393151705873229,BALANCED
2025-01-07,-0.003908361602387393,BALANCED
2025-01-08,-0.2544168868105676,BALANCED
2025-01-09,-0.28175447314823604,BALANCED
2025-01-10,-0.4994536984963517,BALANCED
2025-01-11,0.09867114171579304,BALANCED
2025-01-12,-0.3167213297282543,BALANCED
2025-01-13,-0.44926450740299306,BALANCED
2025-01-14,-0.20942407676352207,BALANCED
2025-01-15,0.031172819344884584,BALANCED
2025-01-16,0.061942005377860224,BALANCED
2025-01-17,-0.3174724317862064,BALANCED
2025-01-18,-0.06366086511501784,BALANCED
2025-01-19,-0.4834165484070979,BALANCED
2025-01-20,-0.44533070386745427,BALANCED
2025-01-21,-0.08470707590728227,BALANCED
2025-01-22,0.04784742806758027,BALANCED
2025-01-23,-0.0774085962867154,BALANCED
2025-01-24,-0.04605239427068408,BALANCED
2025-01-25,0.04307689458603928,BALANCED
2025-01-26,0.3770638089477192,BALANCED
2025-01-27,0.021728584720167345,BALANCED
2025-01-28,0.22290368654120268,BALANCED
2025-01-29,0.17449179270533252,BALANCED
2025-01-30,0.3947462317613536,BALANCED
2025-01-31,0.2937691419864687,BALANCED
2025-02-01,0.2646479776634071,BALANCED
2025-02-02,0.07657044409088114,BALANCED
2025-02-03,0.1498335549893511,BALANCED
2025-02-04,0.6139074403962486,WEAK_RISK_ON_MAJORS
2025-02-05,0.4361898995135702,WEAK_RISK_ON_MAJORS
2025-02-06,0.472654884250382,WEAK_RISK_ON_MAJORS
2025-02-07,0.19167913432586614,BALANCED
2025-02-08,0.3817258040836725,BALANCED
2025-02-09,0.5398670736287613,WEAK_RISK_ON_MAJORS
2025-02-10,0.4611723571243995,WEAK_RISK_ON_MAJORS
2025-02-11,0.577810729709367,WEAK_RISK_ON_MAJORS
2025-02-12,0.2591554861089812,WEAK_RISK_ON_MAJORS
2025-02-13,0.6172649124055885,WEAK_RISK_ON_MAJORS
2025-02-14,0.30061640276167517,WEAK_RISK_ON_MAJORS
2025-02-15,0.5272600922674424,WEAK_RISK_ON_MAJORS
2025-02-16,0.051386771747309656,BALANCED
2025-02-17,0.2298662094686405,BALANCED
2025-02-18,0.6043061688460042,WEAK_RISK_ON_MAJORS
