date,regime,score,pnl,cost,funding,r_ls_net,alt_turnover,major_turnover,alt_gross,major_gross,total_gross
2024-11-29,BALANCED,-0.06932433521992759,0.0,0.0,0.04130065048543689,-0.04130065048543689,0.0,0.0,0.0,0.0,0.0
2024-11-30,BALANCED,-0.1482107189689444,0.0,0.0,0.05612241262135921,-0.05612241262135921,0.0,0.0,0.0,0.0,0.0
2024-12-01,BALANCED,-0.4865785281521169,0.0,0.0,0.05810442233009708,-0.05810442233009708,0.0,0.0,0.0,0.0,0.0
2024-12-02,BALANCED,0.11338246313664964,0.0,0.0,0.08133987378640775,-0.08133987378640775,0.0,0.0,0.0,0.0,0.0
2024-12-03,BALANCED,-0.08474507173055906,0.0,0.0,0.06898549514563107,-0.06898549514563107,0.0,0.0,0.0,0.0,0.0
2024-12-04,BALANCED,0.0,0.0,0.0,0.1076803980582524,-0.1076803980582524,0.0,0.0,0.0,0.0,0.0
2024-12-05,BALANCED,0.0,0.0,0.0,0.07069556250000002,-0.07069556250000002,0.0,0.0,0.0,0.0,0.0
2024-12-06,BALANCED,0.0,0.0,0.0,0.10637968269230766,-0.10637968269230766,0.0,0.0,0.0,0.0,0.0
2024-12-07,BALANCED,0.0,0.0,0.0,0.10187462857142857,-0.10187462857142857,0.0,0.0,0.0,0.0,0.0
2024-12-08,BALANCED,0.0,0.0,0.0,0.11919575714285713,-0.11919575714285713,0.0,0.0,0.0,0.0,0.0
2024-12-09,BALANCED,0.0,0.0,0.0,0.08428054285714284,-0.08428054285714284,0.0,0.0,0.0,0.0,0.0
2024-12-10,BALANCED,0.0,0.0,0.0,0.010126890995260667,-0.010126890995260667,0.0,0.0,0.0,0.0,0.0
2024-12-11,BALANCED,0.0,0.0,0.0,0.009120827102803744,-0.009120827102803744,0.0,0.0,0.0,0.0,0.0
2024-12-12,BALANCED,0.0,0.0,0.0,0.017420509345794394,-0.017420509345794394,0.0,0.0,0.0,0.0,0.0
2024-12-13,BALANCED,0.0,0.0,0.0,0.020121911214953277,-0.020121911214953277,0.0,0.0,0.0,0.0,0.0
2024-12-14,BALANCED,0.0,0.0,0.0,0.020462214953271034,-0.020462214953271034,0.0,0.0,0.0,0.0,0.0
2024-12-15,BALANCED,0.0,0.0,0.0,0.016500827102803747,-0.016500827102803747,0.0,0.0,0.0,0.0,0.0
2024-12-16,BALANCED,0.0,0.0,0.0,0.022166607476635517,-0.022166607476635517,0.0,0.0,0.0,0.0,0.0
2024-12-17,BALANCED,0.0,0.0,0.0,-0.010560402777777774,0.010560402777777774,0.0,0.0,0.0,0.0,0.0
2024-12-18,BALANCED,0.0,0.0,0.0,0.012025423963133644,-0.012025423963133644,0.0,0.0,0.0,0.0,0.0
2024-12-19,BALANCED,0.0,0.0,0.0,0.008024697247706426,-0.008024697247706426,0.0,0.0,0.0,0.0,0.0
2024-12-20,BALANCED,0.0,0.0,0.0,-0.0019114816513761466,0.0019114816513761466,0.0,0.0,0.0,0.0,0.0
2024-12-21,BALANCED,0.0,0.0,0.0,0.01439370270270271,-0.01439370270270271,0.0,0.0,0.0,0.0,0.0
2024-12-22,BALANCED,0.0,0.0,0.0,0.0032290675675675715,-0.0032290675675675715,0.0,0.0,0.0,0.0,0.0
2024-12-23,BALANCED,0.0,0.0,0.0,-0.053033486486486495,0.053033486486486495,0.0,0.0,0.0,0.0,0.0
2024-12-24,BALANCED,0.0,0.0,0.0,0.008521224215246644,-0.008521224215246644,0.0,0.0,0.0,0.0,0.0
2024-12-25,BALANCED,0.0,0.0,0.0,0.011422218750000006,-0.011422218750000006,0.0,0.0,0.0,0.0,0.0
2024-12-26,BALANCED,0.0,0.0,0.0,-0.0008910937499999964,0.0008910937499999964,0.0,0.0,0.0,0.0,0.0
