signal,period,active_share,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew
F2_extreme_neg_funding_long,OOS,0.9665991902834008,988,-0.1405746764670488,0.2340759589760657,-0.5311232512527342,-0.8843186517331764,-0.5472986681564935,-0.2568518519158047,-0.044471465664061,1.1571500854057222
F3_funding_despite_reversal_short,ALL,0.741961095672886,2519,-0.09430113163431886,0.19466067298514086,-0.410779399814419,-0.45960530931159127,-0.658737165178118,-0.14315441213768543,-0.1504535907613848,-0.7736293308380624
F3_funding_despite_reversal_short,IS,0.6178967994774657,1531,-0.07800045245558984,0.1674532487018119,-0.40159912459989605,-0.4499476390678988,-0.4448671037902926,-0.17533427801476356,-0.0611529626957709,0.8612387124165446
F3_funding_despite_reversal_short,OOS,0.9342105263157895,988,-0.11899313381844612,0.23065516568548836,-0.432088296194028,-0.5100155339153796,-0.485232717723016,-0.24522899934866021,-0.1504535907613848,-1.6926817406477441
F4_high_funding_ann_100pct_short,ALL,0.27510373443983405,2410,-0.08178562971391246,0.10722970903685425,-0.7408280214535378,-0.3844508827375757,-0.44405603600151256,-0.18417862405463142,-0.10524176002288751,-5.493804399414825
F4_high_funding_ann_100pct_short,IS,0.12869198312236288,1422,-0.09436166376632416,0.08019936941175182,-1.1951604729995258,-0.5392341002476335,-0.33803500711960777,-0.27914760832133556,-0.06030081610613876,-3.8453147154076963
F4_high_funding_ann_100pct_short,OOS,0.48582995951417,988,-0.06337813044024243,0.13711768871619603,-0.40707336935590327,-0.2586339866914747,-0.25661779513488336,-0.2469748070547081,-0.10524176002288751,-5.330020507802466
P1_premium_z_high_short,ALL,0.8989229494614748,2414,-0.1465602529408867,0.20110992522572227,-0.6874216712904522,-0.9226870595584366,-0.6735333086639299,-0.21759911656279388,-0.0637325367605329,0.22492806281769892
P1_premium_z_high_short,IS,0.8569424964936886,1426,-0.17289014004580971,0.1959867096357855,-0.8705622501918805,-1.172534580545906,-0.550036920032013,-0.31432460940212387,-0.0637325367605329,0.461945586385352
P1_premium_z_high_short,OOS,0.9595141700404858,988,-0.10707297370474578,0.20835850294172564,-0.4392677316262147,-0.5885810118192383,-0.3960364467023585,-0.2703614139463698,-0.04803006396681465,-0.06438124302813399
P2_premium_z_low_long,ALL,0.9516400336417157,2378,-0.24469791765879045,0.21276725241000066,-1.2122399848126602,-1.6634224014664523,-0.8819387731989435,-0.27745454117095797,-0.08778786599237595,0.3120555548546837
P2_premium_z_low_long,IS,0.9172661870503597,1390,-0.18409929683000392,0.2135776857501997,-0.8458218777912441,-1.1054165115265173,-0.7078638079044093,-0.2600772843225584,-0.08778786599237595,0.3812668113735083
P2_premium_z_low_long,OOS,1.0,988,-0.32241040987340064,0.21159881624473442,-1.73273011028035,-2.5486815766914415,-0.6909273020169369,-0.46663434623617944,-0.07407562593588732,0.21134337985661333
L1_new_perp_listing_short,ALL,0.7530266343825666,2065,-0.04895555850627753,0.4390596693803181,0.11172562039213466,0.10319831647205403,-0.7144635165020308,-0.06852072551718374,-0.23570234997322506,-1.6719453374859559
L1_new_perp_listing_short,IS,0.6601671309192201,1077,0.0629768406201836,0.28516568986036867,0.3573746874126395,0.3359288518770793,-0.2834431887440432,0.22218505549291356,-0.09017338268902723,-0.4195299027126913
