ts,asset,funding_received,premium_gain,cost,net,cluster
2026-04-15,BEATUSDT,0.00625975,-5.3719999999999994e-05,0.012,-0.005793970000000001,2026-04
2026-06-03,BEATUSDT,0.01764949,-0.00199504,0.02,-0.00434555,2026-06
2026-06-08,BEATUSDT,0.026930440000000003,0.00199504,0.012,0.016925480000000003,2026-06
2021-02-20,BELUSDT,0.00462703,-0.00024911,0.012,-0.007622080000000001,2021-02
2024-10-30,BELUSDT,0.0012531100000000002,0.0,0.02,-0.01874689,2024-10
2024-11-05,BELUSDT,0.00151877,-0.0012322499999999998,0.02,-0.01971348,2024-11
2023-12-06,BIGTIMEUSDT,0.00882274,7.462e-05,0.008,0.0008973599999999998,2023-12
2023-12-15,BIGTIMEUSDT,0.00783628,0.0009405799999999999,0.008,0.000776859999999999,2023-12
2023-12-22,BIGTIMEUSDT,0.01323657,-0.0016534,0.008,0.00358317,2023-12
2023-12-28,BIGTIMEUSDT,0.01299774,-0.00248036,0.008,0.0025173799999999996,2023-12
2024-02-29,BIGTIMEUSDT,0.02298663,-0.0008385999999999999,0.012,0.010148030000000002,2024-02
2024-03-05,BIGTIMEUSDT,0.01752121,0.0009535499999999998,0.012,0.0064747599999999995,2024-03
2024-03-13,BIGTIMEUSDT,0.01345993,-0.0010008500000000002,0.008,0.004459080000000001,2024-03
2024-03-29,BIGTIMEUSDT,0.01586009,0.0013607500000000002,0.008,0.009220840000000001,2024-03
2024-11-10,BIGTIMEUSDT,0.0059322,0.00028772000000000004,0.008,-0.0017800799999999999,2024-11
2024-11-25,BIGTIMEUSDT,0.00653897,-0.0005272400000000001,0.008,-0.0019882700000000003,2024-11
2024-12-05,BIGTIMEUSDT,0.0080093,0.0012015300000000001,0.012,-0.0027891700000000005,2024-12
2026-05-07,BLESSUSDT,0.00726403,0.00061184,0.02,-0.01212413,2026-05
2026-04-04,BLUAIUSDT,0.01302642,-0.00215568,0.02,-0.00912926,2026-04
2026-04-09,BLUAIUSDT,0.011341549999999999,0.00215568,0.02,-0.0065027700000000015,2026-04
2024-12-02,BLURUSDT,0.006325250000000001,-5.955000000000001e-05,0.012,-0.0057342999999999995,2024-12
2021-02-19,BLZUSDT,0.016460060000000002,0.00475122,0.02,0.001211280000000002,2021-02
