signal,n,control_coverage,n_matched,raw_gross_mean,matched_signal_gross_mean,matched_control_gross_mean,excess_mean,excess_lo,excess_hi,excess_p,excess_lo_fixed_control,excess_hi_fixed_control,smd_log_adv,smd_beta,smd_year,smd_bull,smd_high_vol,top5_share,mean_ex_top5,mean_winsor5,window
Q3_short_liq_squeeze_OI_reset_short,152,0.6447368421052632,98,-0.03019876301449139,-0.04141242889458479,-0.0018251333003224432,-0.03958729559426234,-0.07794687355098988,0.010441071547292173,0.217,-0.0677453701282093,0.006411497743374028,0.1838957319397279,0.21949847963872757,-0.03922291621192448,-0.41903625425137436,-0.16699334732967602,,-0.04434616291821905,-0.03359729551926755,OOS
Q4_short_liq_OI_rebuild_long,1093,0.8371454711802379,915,0.027283190363467706,0.027724882739667802,0.0209749656575076,0.006749917082160202,-0.005451337356003258,0.018529708783277435,0.277,-0.01185864019380764,0.02377500387059671,0.030395218799051663,-0.004434004838405627,0.028005565626133593,-0.04970362757154645,0.11159293261123053,0.29168464859942644,0.013977374659191985,0.009392532855309735,OOS
X1_crowded_long_reversal,21,0.8571428571428571,18,-0.285706808161932,-0.3306205781511299,-0.02384798990368896,,,,,,,,,,,,,-0.4196747967509039,-0.22260963820488236,OOS
X2_short_squeeze_continuation,215,0.3581395348837209,77,0.022135734000692794,0.04960506864692801,0.002706499989189103,0.046898568657738914,0.0013456725929237375,0.1191581407688211,0.041,-0.00251793437266414,0.13037649564809595,0.14816606106081207,-0.18748449793534905,0.03544144032619325,-0.5262006215354877,-0.23827025311926722,1.4506229072644832,-0.006731845062912183,0.0010908590441819142,OOS
X3_capitulation_rebound,288,0.8159722222222222,235,0.010049930945522033,0.014540087151519783,0.00018118119877732914,0.014358905952742454,-0.005701870161740636,0.035699831933898994,0.155,-0.010622051685134767,0.04339323708237555,0.013503757795467114,0.23960629479746903,0.27778977228811347,-0.06588737721670725,-0.14189041544888614,2.2070575363012654,-0.0029667718011754055,0.001179565322287054,OOS
X4_funding_despite_reversal_OI,44,0.3181818181818182,14,-0.008255169791721131,0.007463242931924499,-0.003389447533136268,,,,,,,,,,,,,-0.05572425825661419,0.00036715196667186237,OOS
C1_funding_interval_shortened,136,0.6397058823529411,87,0.14522503706609113,0.1516301472310561,0.009404195938335308,0.14222595129272078,0.0013398288080157716,0.3270145584392971,0.047,0.004238872909648008,0.32483412891178604,-1.4349647759015114,-0.1426861700846283,1.0683999684110013,-0.575080155761053,0.04428267178263219,0.7900393746434826,0.029467690712676922,0.07519261195222636,ALL
CB1_coinbase_premium_high_long_BTC,26,0.46153846153846156,12,0.015192823551033978,-0.000219696650363183,0.007067588414263891,,,,,,,,,,,,2.1817796988030183,-0.01930315652881237,0.011798244889241371,ALL
CB2_coinbase_premium_low_short_BTC,50,0.36,18,0.004024193216499705,0.009695351611935585,-0.003840512109115923,,,,,,,,,,,,7.009674038252454,-0.013516379357338884,0.00354102092732301,ALL
F1_extreme_pos_funding_short,998,0.33867735470941884,338,0.010591051648030973,0.0011461861815416665,-0.011274282251257043,0.012420468432798712,-0.02010190277953856,0.0423876460349471,0.461,-0.02047070294812792,0.04295043856836921,-1.2336615788577405,0.09029101941119794,0.04870311486897233,0.43105982013239563,-0.059673546889757734,8.010631516100172,-0.003342619501176876,0.011184246809343915,ALL
