asset,period,bucket,n,mean_bp,lo_bp,hi_bp,vol_bp,settlement_hour
BTCUSDT,OOS,dow_5,141,-0.6600568450445212,-20.379486083271246,19.107419054655864,123.30661886858276,False
BTCUSDT,OOS,dow_6,141,12.57959217031341,-21.457092115276534,46.39999773974937,207.40654025183252,False
ETHUSDT,IS,hour_00,1495,4.4822348536337975,-0.44780797824489466,9.775208773599568,109.13885916412059,True
ETHUSDT,IS,hour_01,1495,-1.4206714281088684,-6.1819288155322685,3.209292458625358,96.02042631301228,False
ETHUSDT,IS,hour_02,1495,-4.855655059663425,-8.525149808189491,-1.0904807765899478,85.90686964777454,False
ETHUSDT,IS,hour_03,1495,-3.893051188027477,-8.02818504690432,0.5233592473537124,86.61606702535693,False
ETHUSDT,IS,hour_04,1495,-0.7101646026073715,-4.568206421593066,2.7971765436438805,75.87394136181408,False
ETHUSDT,IS,hour_05,1495,2.684138349958032,-0.7713379569066872,6.264146998806524,74.24130077818796,False
ETHUSDT,IS,hour_06,1495,1.7228071922666743,-2.246937195775318,5.792584607107814,75.96001160744875,False
ETHUSDT,IS,hour_07,1496,2.2936360189690372,-1.8021023789969102,6.156882376864809,79.9624807246899,False
ETHUSDT,IS,hour_08,1496,0.991927002253055,-4.097200420661302,5.384328039059498,94.76212527940132,True
ETHUSDT,IS,hour_09,1496,-2.0747731034404104,-5.957803491512204,1.4303885020805154,79.80538332536916,False
ETHUSDT,IS,hour_10,1496,2.7095791886126825,-2.3120818350940655,7.119007086280305,100.11525011649483,False
ETHUSDT,IS,hour_11,1496,0.6439099209205738,-3.126898635661288,4.3953252879843445,81.78872554832124,False
ETHUSDT,IS,hour_12,1496,2.453497223704944,-3.3137063979711634,6.968925793258942,106.049927512095,False
ETHUSDT,IS,hour_13,1496,5.256151849762686,0.7356914108728975,10.529694277795882,98.4083683314443,False
ETHUSDT,IS,hour_14,1496,-2.0250270650059568,-7.667584073573954,2.8890020461426693,109.58627871244194,False
ETHUSDT,IS,hour_15,1496,4.774076762030478,-0.14265781815825623,8.800951226547227,99.42608865411961,False
ETHUSDT,IS,hour_16,1496,3.840788318502578,-1.5643472053867582,9.04216093016893,102.35979993727032,True
ETHUSDT,IS,hour_17,1496,-0.7694742134063816,-5.004737071884007,4.199898100020554,86.04304180547223,False
ETHUSDT,IS,hour_18,1496,1.5243015821417354,-2.7866064077276906,5.847274412108487,90.33503883383241,False
ETHUSDT,IS,hour_19,1496,1.6803720171668624,-2.161271127552944,5.575646981721262,87.17893809347296,False
ETHUSDT,IS,hour_20,1496,3.6149026070841996,-0.8917489605972512,8.301297984952928,94.4282050512739,False
ETHUSDT,IS,hour_21,1496,3.466930751660445,-1.439707446210024,8.557933643664654,93.15756427687425,False
ETHUSDT,IS,hour_22,1496,4.346409002851955,0.15381610067618776,8.488158472156703,88.77131268930383,False
ETHUSDT,IS,hour_23,1496,-2.0148726827163497,-6.9660186166911,2.448945607000616,101.04489076661962,False
ETHUSDT,OOS,hour_00,989,-0.5467110575439195,-4.403703177788003,3.537086131473824,70.51742295149263,True
ETHUSDT,OOS,hour_01,989,-1.9357319281332912,-7.562304266874064,3.19706035542735,86.12477183791066,False
ETHUSDT,OOS,hour_02,989,0.8013968767305076,-2.947329218793227,4.755424535363429,64.3036624847114,False
ETHUSDT,OOS,hour_03,989,3.3738051791446693,-0.31340875513760347,6.801867481556515,56.191211924635255,False
ETHUSDT,OOS,hour_04,989,1.4532808832369293,-1.7771255148873148,4.472293933134425,50.8674423312799,False
ETHUSDT,OOS,hour_05,989,1.1397845779485918,-2.0698400517329207,4.491815544179361,58.06720589207393,False
ETHUSDT,OOS,hour_06,989,-1.5316610242124558,-5.806536014624764,2.1590613145759203,60.163067120182575,False
ETHUSDT,OOS,hour_07,989,-0.2722870426040533,-3.7464858887721197,3.4613141011897515,59.41001410883222,False
ETHUSDT,OOS,hour_08,989,2.7727812573175843,-1.0017467665767277,6.297628333895219,63.75723077563556,True
ETHUSDT,OOS,hour_09,989,2.1871891225342273,-0.9784999290710837,5.3107441773863195,54.988253153453094,False
ETHUSDT,OOS,hour_10,988,-2.1271565681273845,-5.0945125290408715,0.9392388569508622,51.6477605347935,False
ETHUSDT,OOS,hour_11,988,2.2601301277950965,-0.9565234557199999,5.8698976194108505,55.94593377399211,False
ETHUSDT,OOS,hour_12,988,-0.8368353321998013,-4.7349463468380915,2.590677301368038,63.825094326376075,False
ETHUSDT,OOS,hour_13,988,-4.7943989086499,-9.446729098980583,0.2149136974938645,82.96925492746425,False
ETHUSDT,OOS,hour_14,988,-2.0165181947623245,-7.922413482510023,3.9441988182599856,96.62814395286343,False
ETHUSDT,OOS,hour_15,988,-0.2964788119806947,-5.5034529710196605,5.252962495793385,95.26985852564286,False
ETHUSDT,OOS,hour_16,988,-0.8615646425581325,-5.73009821915969,4.102330390338273,80.33213996161476,True
ETHUSDT,OOS,hour_17,988,2.9132451397979513,-2.430893788063414,8.018837330439366,85.56368956503373,False
ETHUSDT,OOS,hour_18,988,-3.8629338682702485,-7.960231122782187,0.018844501760111005,71.78151888428843,False
ETHUSDT,OOS,hour_19,988,0.5905415386156082,-4.189754857051958,5.062195164668513,78.78775745299308,False
ETHUSDT,OOS,hour_20,988,0.3745198682057991,-4.196420717067213,4.660614360286881,73.91496885843543,False
ETHUSDT,OOS,hour_21,988,7.691532682318122,2.668257509346387,12.30762718336288,73.14088447388002,False
ETHUSDT,OOS,hour_22,988,3.571891836015719,-0.3390760596147509,8.008700447382209,70.41869981217087,False
ETHUSDT,OOS,hour_23,988,-3.4194140056090676,-6.700643554147671,0.294257924799827,53.11527458385132,False
ETHUSDT,IS,dow_0,213,36.63739349915061,-33.75741811567473,101.68396078719326,529.5558197119184,False
ETHUSDT,IS,dow_1,213,17.931506628756924,-34.85185146284913,71.27854114656493,389.61192472140436,False
ETHUSDT,IS,dow_2,213,60.311143412605254,-11.277226682165033,125.78912873078076,504.2347606839244,False
ETHUSDT,IS,dow_3,214,2.6918688686053844,-63.44601016986721,63.209136423347296,564.906789646226,False
ETHUSDT,IS,dow_4,214,25.59642819469259,-35.350626055603776,84.77453632482269,469.6933321128654,False
ETHUSDT,IS,dow_5,214,32.60175500869676,-13.674273956962828,85.26307132392421,347.19774413950586,False
ETHUSDT,IS,dow_6,214,28.028454926626825,-21.231572085093003,84.77673468501115,394.1394275027091,False
ETHUSDT,OOS,dow_0,142,53.98904627840791,-19.559404882702434,119.99293608089356,406.8850162928492,False
ETHUSDT,OOS,dow_1,142,-47.707387825876474,-112.89334925815238,8.466752636427497,350.04496812620613,False
ETHUSDT,OOS,dow_2,141,71.2412494581347,8.952656670331185,134.38218577941166,405.50989015914814,False
ETHUSDT,OOS,dow_3,141,-52.290374909720015,-116.0891499363448,11.99272464848012,392.49990865062415,False
ETHUSDT,OOS,dow_4,141,0.11406374012000896,-59.68293048255913,59.19753831458208,363.0977544440096,False
ETHUSDT,OOS,dow_5,141,18.446636205968428,-14.040804547271224,52.4584991569246,227.08917271242845,False
ETHUSDT,OOS,dow_6,141,6.188474878051568,-52.47792013288297,60.08305960440094,314.3761058741963,False
SOLUSDT,IS,hour_00,1203,6.772404332788547,-2.874068949716878,17.228271761807218,181.1211036051201,True
SOLUSDT,IS,hour_01,1203,1.6809211531801087,-7.811411205085873,10.169518680636338,156.32810552301186,False
SOLUSDT,IS,hour_02,1203,-2.8285715122169086,-10.50852817546705,4.840274865691038,138.59656513749948,False
SOLUSDT,IS,hour_03,1203,-2.374985522076487,-8.983505775679893,4.836071139825089,144.93274586475655,False
SOLUSDT,IS,hour_04,1203,1.8250236308083816,-5.104094991410665,7.698969563307053,121.3854714579912,False
SOLUSDT,IS,hour_05,1203,5.323876320374302,-2.3553888803458927,12.55730363800749,131.0998126664542,False
SOLUSDT,IS,hour_06,1203,7.133500426393837,0.5703537837422591,13.774391873820289,134.8484884119726,False
SOLUSDT,IS,hour_07,1204,3.818381104428858,-2.879085818533497,10.410135257228477,134.403954467676,False
SOLUSDT,IS,hour_08,1204,0.9765194901100923,-7.500414122475577,9.897633789850188,152.0317845236068,True
