decision_date,next_date,basket_hash,basket_members,n_valid,coverage,F_tk,F_tk_apr,label_v0_0,label_v0_1,p_v0_0,p_v0_1,r_alts,r_maj_weighted,y,r_btc,r_eth,funding_pct_rank,funding_regime,btcd_index_decision,sma_30,BTCDOM_Trend,btcdom_7d_ret,is_mrf_active,y_filtered,y_gated
2024-06-24,2024-07-01,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,EZETH,FET,FIL,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,PEPE,RENDER,SOL,STETH,STX,SUI,TRX,UNI,VET,XLM,XMR,XRP","SOL,STETH,XRP,DOGE,ADA,TRX,LINK,DOT,BCH,UNI,NEAR,LTC,PEPE,ICP,KAS,FET,EZETH,ETC,APT,XMR,RENDER,HBAR,XLM,ATOM,ARB,FIL,STX,IMX,SUI,VET",26,86.66666666666667,3.005467032967033e-05,1.0969954670329671,Orange,,25.0,,0.0431045475988058,-0.0038538243871084,-0.0480966952597974,-0.0077025164448681,0.0051264570809976,,,,,Falling,,False,0.0,0.0
2024-07-01,2024-07-08,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,EZETH,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,SOL,STETH,STX,TRX,UNI,WIF,XLM,XMR,XRP","SOL,STETH,XRP,DOGE,ADA,TRX,LINK,DOT,BCH,UNI,NEAR,LTC,PEPE,KAS,ICP,FET,ETC,EZETH,APT,XMR,RENDER,HBAR,XLM,ATOM,ARB,STX,FIL,IMX,INJ,WIF",26,86.66666666666667,4.116659340659341e-05,1.5025806593406597,Orange,,33.33333333333333,,-0.163016601940198,-0.1207288579800701,0.0414180510449874,-0.1092545578638128,-0.1475022249180039,,,,,Falling,,False,0.0,0.0
2024-07-08,2024-07-15,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,EZETH,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,SOL,STETH,STX,TRX,UNI,VET,XLM,XMR,XRP","SOL,STETH,XRP,DOGE,ADA,TRX,DOT,LINK,BCH,UNI,NEAR,LTC,KAS,PEPE,ICP,EZETH,ETC,FET,XMR,APT,RENDER,XLM,HBAR,ATOM,ARB,FIL,STX,VET,INJ,IMX",26,86.66666666666667,3.312043956043956e-05,1.208896043956044,Orange,,27.08333333333333,,0.1545865859151574,0.0966051883656272,-0.0597302567764817,0.0905855110686109,0.1106511020586655,,,2542.0345891620696,,Falling,-0.010807029774076805,False,0.0,0.0
2024-07-15,2024-07-22,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,EZETH,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,SOL,STETH,STX,TRX,UNI,VET,XLM,XMR,XRP","SOL,STETH,XRP,DOGE,ADA,TRX,DOT,LINK,BCH,UNI,NEAR,LTC,KAS,ICP,PEPE,ETC,FET,APT,XLM,XMR,HBAR,STX,VET,FIL,ATOM,RENDER,ARB,IMX,INJ,EZETH",26,86.66666666666667,6.0134010989011e-05,2.1948914010989014,Yellow,,47.91666666666667,,0.1075367312397461,0.1079465992042839,0.0004097839916081,0.1172553213551856,0.0862262475188466,,,2514.710656879088,,Falling,0.014969322828649314,False,0.0,0.0
2024-07-22,2024-07-29,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,SOL,STETH,STX,TAO,TRX,UNI,WIF,XLM,XMR,XRP","SOL,STETH,XRP,DOGE,ADA,TRX,LINK,DOT,BCH,NEAR,UNI,LTC,PEPE,ICP,KAS,FET,ETC,APT,XLM,XMR,STX,WIF,RENDER,FIL,ARB,HBAR,INJ,IMX,ATOM,TAO",27,90.0,4.81589417989418e-05,1.7578013756613755,Yellow,,41.66666666666667,,-0.0682315671205913,-0.0205152426901906,0.0466128664622311,0.0022633527790179,-0.0736652987850104,,,2552.6373326323483,,Falling,0.04147566145942058,False,0.0,0.0
2024-07-29,2024-08-05,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,HBAR,ICP,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,SOL,STETH,STX,TAO,TRX,UNI,VET,WIF,XLM,XMR,XRP","SOL,XRP,STETH,DOGE,ADA,TRX,BCH,LINK,DOT,NEAR,UNI,LTC,PEPE,KAS,ICP,ETC,APT,FET,XMR,XLM,STX,FIL,RENDER,ATOM,HBAR,WIF,TAO,ARB,INJ,VET",28,93.33333333333331,4.725295918367348e-05,1.724733010204082,Orange,,35.41666666666667,,-0.2066734327668817,-0.1591160971064111,0.0464611070302642,-0.1499956587120745,-0.1803971200265299,0.3076923076923077,Q2: Weak,2660.7358882596354,,Falling,0.04600554256713429,False,0.0,0.0
2024-08-05,2024-08-12,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,SOL,STETH,STX,TRX,UNI,VET,XLM,XMR,XRP","SOL,XRP,STETH,DOGE,ADA,TRX,LINK,DOT,BCH,LTC,UNI,NEAR,KAS,ICP,PEPE,ETC,XMR,XLM,APT,FET,FIL,STX,HBAR,ATOM,ARB,VET,RENDER,INJ,IMX,OP",28,93.33333333333331,1.5173469387755103e-05,0.5538316326530613,Red,,16.666666666666664,,-0.0163826633354182,-0.0041981111387337,0.0121109180697276,0.0137576297468573,-0.0460948398717796,0.14814814814814814,Q1: Negative/Low,2786.0039044823247,2573.966498055968,Rising,0.038173239579313255,False,0.0,0.0
2024-08-12,2024-08-19,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,HBAR,ICP,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,SOL,STETH,STX,SUI,TAO,TRX,UNI,VET,XLM,XMR,XRP","SOL,XRP,STETH,DOGE,ADA,TRX,BCH,DOT,LINK,LTC,UNI,NEAR,KAS,PEPE,ICP,XLM,XMR,ETC,APT,SUI,FET,TAO,STX,FIL,ATOM,HBAR,ARB,VET,RENDER,INJ",28,93.33333333333331,-4.761658163265306e-05,-1.738005229591837,Red,,2.083333333333333,,0.0040976998222863,0.0021872490715641,-0.0019122779893614,-0.0062230341122991,0.0218112431672452,0.03571428571428571,Q1: Negative/Low,2894.4106535602677,2657.949431272205,Rising,-0.009278643236868328,False,0.0,0.0
2024-08-19,2024-08-26,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,PEPE,RENDER,SOL,STETH,STX,SUI,TAO,TRX,UNI,VET,XLM,XMR,XRP","SOL,XRP,STETH,DOGE,ADA,TRX,BCH,DOT,LINK,LTC,UNI,NEAR,KAS,ICP,PEPE,APT,XMR,ETC,XLM,SUI,STX,FET,FIL,TAO,HBAR,VET,ARB,ATOM,RENDER,IMX",28,93.33333333333331,9.733826530612244e-06,0.3552846683673469,Red,,10.416666666666668,,0.1742976978030311,0.0847855457036484,-0.0937747265255981,0.0997209568729515,0.0499362529752744,0.10344827586206896,Q1: Negative/Low,2867.678659827994,2736.942483776938,Rising,0.008379721383195676,False,0.0,0.0
2024-08-26,2024-09-02,"ADA,APT,ARB,BCH,DOGE,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,SOL,STETH,STX,SUI,TAO,TRX,UNI,VET,XLM,XMR,XRP","SOL,XRP,STETH,DOGE,TRX,ADA,LINK,BCH,DOT,NEAR,UNI,LTC,KAS,ICP,PEPE,APT,FET,XMR,ETC,XLM,STX,SUI,TAO,RENDER,FIL,IMX,INJ,HBAR,ARB,VET",28,93.33333333333331,4.747137755102041e-05,1.732705280612245,Orange,,37.5,,-0.1514230604141409,-0.1096847704231187,0.0408907505478866,-0.1074926070539606,-0.1147998182844874,0.4,Q2: Weak,2891.809973649408,2802.5484910027903,Rising,0.03731526732463214,True,0.0408907505478866,0.0408907505478866
2024-09-02,2024-09-09,"AAVE,ADA,APT,ARB,BCH,DOGE,DOT,ETC,FET,FIL,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,PEPE,RENDER,SOL,STETH,STX,SUI,TAO,TRX,UNI,VET,XLM,XMR,XRP","SOL,XRP,STETH,DOGE,TRX,ADA,LINK,BCH,DOT,LTC,NEAR,UNI,KAS,ICP,XMR,PEPE,APT,FET,XLM,ETC,STX,SUI,IMX,FIL,TAO,RENDER,AAVE,HBAR,ARB,VET",28,93.33333333333331,-2.492433673469388e-05,-0.9097382908163266,Red,,4.166666666666666,,0.0028540592181317,-0.0478031411257482,-0.0519853236202166,-0.0447247342869662,-0.0549860904162394,0.06451612903225806,Q1: Negative/Low,3001.75723405666,2878.3524462979794,Rising,-0.01186639470014133,False,0.0,0.0
2024-09-09,2024-09-16,"AAVE,ADA,APT,ARB,BCH,DOGE,DOT,ETC,FET,FIL,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,PEPE,POL,RENDER,SOL,STETH,STX,SUI,TAO,TRX,UNI,XLM,XMR,XRP","SOL,XRP,STETH,DOGE,TRX,ADA,LINK,BCH,DOT,UNI,LTC,NEAR,KAS,ICP,XMR,PEPE,APT,FET,ETC,XLM,SUI,POL,STX,FIL,IMX,RENDER,AAVE,HBAR,TAO,ARB",27,90.0,-9.541005291005288e-06,-0.348246693121693,Red,,8.333333333333332,,0.0599741629035975,0.0599262905286445,-4.787352087166191e-05,0.0807118158784387,0.0114267313791247,0.125,Q1: Negative/Low,2966.3477051506543,2916.3043554269902,Rising,0.04043575742720924,False,0.0,0.0
2024-09-16,2024-09-23,"AAVE,ADA,APT,BCH,DOGE,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,POL,RENDER,SOL,STETH,STX,SUI,TAO,TRX,UNI,XLM,XMR,XRP","SOL,XRP,STETH,DOGE,TRX,ADA,LINK,BCH,DOT,UNI,LTC,NEAR,KAS,ICP,FET,XMR,PEPE,APT,SUI,XLM,ETC,STX,TAO,POL,AAVE,IMX,FIL,RENDER,HBAR,INJ",28,93.33333333333331,2.1613503401360545e-05,0.7888928741496598,Orange,,22.916666666666664,,0.1125557374564932,0.0852421632542025,-0.0276935243827851,0.0737619165130478,0.1120294056502302,0.30303030303030304,Q2: Weak,3088.752305068853,2953.320004115419,Rising,-0.016707212331836876,True,-0.0276935243827851,-0.0276935243827851
2024-09-23,2024-09-30,"AAVE,ADA,APT,ARB,BCH,DOGE,DOT,ETC,FET,FIL,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,POL,RENDER,SOL,STETH,STX,SUI,TAO,TRX,UNI,XLM,XMR,XRP","SOL,XRP,STETH,DOGE,TRX,ADA,LINK,BCH,DOT,LTC,NEAR,UNI,SUI,KAS,FET,APT,ICP,TAO,PEPE,XMR,POL,XLM,ETC,IMX,STX,AAVE,RENDER,FIL,ARB,INJ",28,93.33333333333331,4.026433673469388e-05,1.4696482908163266,Orange,,31.25,,0.0909058519778481,0.0318275006257662,-0.0608954067869629,0.0327305003487403,0.0297205012721599,0.38235294117647056,Q2: Weak,3037.5765569020846,3002.233997216736,Rising,-0.021148461521783332,True,-0.0608954067869629,-0.0608954067869629
2024-09-30,2024-10-07,"AAVE,ADA,APT,BCH,DOGE,DOT,ETC,FET,FIL,ICP,IMX,KAS,LINK,LTC,NEAR,OP,PEPE,POL,RENDER,SOL,STETH,STX,SUI,TAO,TRX,UNI,WIF,XLM,XMR,XRP","SOL,XRP,STETH,DOGE,ADA,TRX,LINK,BCH,DOT,NEAR,UNI,LTC,PEPE,SUI,ICP,FET,TAO,APT,KAS,POL,ETC,XLM,STX,IMX,XMR,RENDER,WIF,AAVE,FIL,OP",28,93.33333333333331,7.481734693877552e-05,2.7308331632653062,YellowGreen,,62.5,,-0.0719691998164462,-0.0553961499679523,0.0164372155951567,-0.0434317679116642,-0.0833130414326244,0.6857142857142857,Q3: Neutral,2974.0110118730527,3014.102597087893,Falling,0.007968256919189462,False,0.0,0.0
