date,score,regime
2024-12-22,0.0,BALANCED
2024-12-23,0.0,BALANCED
2024-12-24,0.0,BALANCED
2024-12-25,0.0,BALANCED
2024-12-26,0.0,BALANCED
2024-12-27,0.0,BALANCED
2024-12-28,0.0,BALANCED
2024-12-29,0.0,BALANCED
2024-12-30,0.0,BALANCED
2024-12-31,0.0,BALANCED
2025-01-01,0.0,BALANCED
2025-01-02,0.0,BALANCED
2025-01-03,0.0,BALANCED
2025-01-04,0.0,BALANCED
2025-01-05,0.0,BALANCED
2025-01-06,0.0,BALANCED
2025-01-07,0.0,BALANCED
2025-01-08,0.0,BALANCED
2025-01-09,0.0,BALANCED
2025-01-10,0.0,BALANCED
2025-01-11,0.0,BALANCED
2025-01-12,0.0,BALANCED
2025-01-13,0.0,BALANCED
2025-01-14,0.0,BALANCED
2025-01-15,0.0,BALANCED
2025-01-16,0.0,BALANCED
2025-01-17,0.0,BALANCED
2025-01-18,0.0,BALANCED
2025-01-19,0.0,BALANCED
2025-01-20,0.0,BALANCED
2025-01-21,0.0,BALANCED
2025-01-22,0.0,BALANCED
2025-01-23,0.0,BALANCED
2025-01-24,0.0,BALANCED
2025-01-25,0.0,BALANCED
2025-01-26,0.0,BALANCED
2025-01-27,0.0,BALANCED
2025-01-28,0.0,BALANCED
2025-01-29,0.0,BALANCED
2025-01-30,0.0,BALANCED
2025-01-31,0.0,BALANCED
2025-02-01,0.0,BALANCED
2025-02-02,0.0,BALANCED
2025-02-03,0.0,BALANCED
2025-02-04,0.0,BALANCED
2025-02-05,0.0,BALANCED
2025-02-06,0.0,BALANCED
2025-02-07,0.0,BALANCED
2025-02-08,0.0,BALANCED
2025-02-09,0.0,BALANCED
2025-02-10,0.0,BALANCED
2025-02-11,0.0,BALANCED
2025-02-12,0.0,BALANCED
2025-02-13,0.0,BALANCED
2025-02-14,0.0,BALANCED
2025-02-15,0.0,BALANCED
2025-02-16,0.0,BALANCED
2025-02-17,0.0,BALANCED
2025-02-18,0.0,BALANCED
2025-02-19,0.0,BALANCED
2025-02-20,0.28026980064839596,BALANCED
2025-02-21,0.8754194870987643,WEAK_RISK_ON_MAJORS
2025-02-22,0.19324294764503028,WEAK_RISK_ON_MAJORS
2025-02-23,0.6767016187751994,WEAK_RISK_ON_MAJORS
2025-02-24,-0.1036679225815286,BALANCED
2025-02-25,0.34424719344536997,BALANCED
2025-02-26,0.4422226019272435,BALANCED
2025-02-27,0.09206246722323772,BALANCED
2025-02-28,0.2853420118428992,BALANCED
2025-03-01,0.007397239637589675,BALANCED
2025-03-02,-0.21205064647564048,BALANCED
2025-03-03,0.7458438174841322,WEAK_RISK_ON_MAJORS
2025-03-04,-0.4829413802788226,BALANCED
2025-03-05,-0.6229551617559319,WEAK_RISK_ON_ALTS
2025-03-06,-0.2028635604527989,WEAK_RISK_ON_ALTS
2025-03-07,-0.3786421492748875,WEAK_RISK_ON_ALTS
2025-03-08,-0.6138549480664259,WEAK_RISK_ON_ALTS
2025-03-09,-0.23547970096108697,WEAK_RISK_ON_ALTS
2025-03-10,-0.04327312004315706,BALANCED
2025-03-11,-0.013472907888929516,BALANCED
2025-03-12,0.7319618435444033,WEAK_RISK_ON_MAJORS
2025-03-13,0.21714983619877076,WEAK_RISK_ON_MAJORS
2025-03-14,1.3158073676593633,WEAK_RISK_ON_MAJORS
2025-03-15,0.5160652585729449,WEAK_RISK_ON_MAJORS
2025-03-16,0.22947805034145333,WEAK_RISK_ON_MAJORS
2025-03-17,-0.29032456684714647,BALANCED
2025-03-18,0.3658730050296855,BALANCED
