date,open,high,low,close,volume,return,cum_return
2020-05-26,8900.35,9017.67,8700.0,8841.18,58299.770138,-0.006648053166448564,-0.5371754509581393
2020-05-27,8841.0,9225.0,8811.73,9204.07,68910.355514,0.04104542606303685,-0.5181786201502833
2020-05-28,9204.07,9625.47,9110.0,9575.89,74110.787662,0.04039734595673439,-0.4987143151791431
2020-05-29,9575.87,9605.26,9330.0,9427.07,57374.362961,-0.015541114194085326,-0.5065048532508043
2020-05-30,9426.6,9740.0,9331.23,9697.72,55665.27254,0.02870987486037535,-0.49233666934343234
2020-05-31,9697.72,9700.0,9381.41,9448.27,48333.786403,-0.025722540968392438,-0.5053950601643964
2020-06-01,9448.27,10380.0,9421.67,10200.77,76649.12696,0.07964420999823241,-0.46600264046996653
2020-06-02,10202.71,10228.99,9266.0,9518.04,108970.773151,-0.06692926122243703,-0.5017426892380438
2020-06-03,9518.02,9690.0,9365.21,9666.24,46252.644939,0.015570432568049686,-0.49398460737928696
2020-06-04,9666.32,9881.63,9450.0,9789.06,57456.100969,0.01270607806137658,-0.48755513630039005
2020-06-05,9788.14,9854.75,9581.0,9621.16,47788.05005,-0.01715180007069117,-0.49634448814981835
2020-06-06,9621.17,9735.0,9531.05,9666.3,32752.950893,0.004691741952113748,-0.4939814664554575
2020-06-07,9666.85,9802.0,9372.46,9746.99,57952.848385,0.00834755801082121,-0.4897574473921438
2020-06-08,9746.99,9800.0,9633.0,9782.01,40664.664125,0.0035929040657680655,-0.4879241948503511
2020-06-09,9782.0,9877.0,9570.0,9772.43,46024.001289,-0.0009793488250369187,-0.4884256956884543
2020-06-10,9772.44,9992.72,9704.18,9885.0,47130.762982,0.011519141093873309,-0.48253279909708946
2020-06-11,9885.22,9964.0,9113.0,9280.4,94418.98473,-0.061163378856853856,-0.5141828415519099
2020-06-12,9278.88,9557.12,9232.51,9465.13,50119.066932,0.019905392008965128,-0.5045124605683191
2020-06-13,9464.96,9494.73,9351.0,9473.34,27759.784851,0.0008673943199934975,-0.5040826774909886
2020-06-14,9473.34,9480.99,9245.0,9342.1,30055.506608,-0.013853614459103047,-0.510952924880619
2020-06-15,9342.1,9495.0,8910.45,9426.02,86107.924707,0.008982990976333038,-0.5065598194178196
2020-06-16,9426.05,9589.0,9373.09,9525.59,52052.446927,0.010563313041983768,-0.5013474563228371
2020-06-17,9526.97,9565.0,9236.61,9465.14,48046.411152,-0.006346063603409391,-0.5045119370810142
2020-06-18,9465.13,9489.0,9280.0,9386.32,37381.953765,-0.00832739927777082,-0.5086380640183098
