strategy,start,end,years,cumulative_return,CAGR,ann_vol,downside_vol,Sharpe,Sortino,max_drawdown,Calmar,worst_year,worst_year_label,best_year,best_year_label,worst_month,worst_5d,worst_20d,pct_time_invested,avg_exposure,turnover_ann,n_position_changes,upside_capture,downside_capture,map,overlay,dvol_threshold
C_strong +DVOL80,2021-03-24,2026-08-17,5.41,1.4964712473978392,0.18441638924718773,0.25149397899341147,0.3099229224318782,0.7332835163104202,0.595039527248014,-0.21725053571657704,0.8488650609717049,0.0,2022,0.7265559176909324,2024,-0.12540948229322657,-0.13253507552346022,-0.20718397976435643,0.2747085656360872,0.2700704103046806,15.587419669532421,148,0.2668217205495509,0.2236489585520342,C_strong,trend + DVOL,80.0
C_strong +DVOL90,2021-03-24,2026-08-17,5.41,1.5010264016496393,0.18481589591034564,0.25663514352445127,0.31922378210314545,0.7201503791421967,0.5789540324744012,-0.22549608646851838,0.8195969109918362,0.0,2022,0.7280218933018447,2024,-0.13521132172372463,-0.13253507552346022,-0.22549608646851838,0.2747085656360872,0.27400022577436195,15.61339925992931,107,0.27147496982717567,0.22806886393895512,C_strong,trend + DVOL,90.0
C_strong +DVOL100,2021-03-24,2026-08-17,5.41,1.4976316191187387,0.18451821520675504,0.25782733355577975,0.3214716596261198,0.7156658398549329,0.5739797263041934,-0.2290544048876184,0.8055650154262946,0.0,2022,0.7280218933018447,2024,-0.1376404258495233,-0.13253507552346022,-0.22905440488761852,0.2747085656360872,0.2747070496569086,15.539787126203752,84,0.2723515342564968,0.22897293111408845,C_strong,trend + DVOL,100.0
C_strong +DVOL110,2021-03-24,2026-08-17,5.41,1.4976165720290875,0.18451689502807866,0.2578273241815384,0.32147127374923956,0.7156607454769175,0.5739763086017111,-0.2290544048876182,0.8055592518232028,0.0,2022,0.7280218933018447,2024,-0.1376404258495233,-0.13253507552346022,-0.22905440488761852,0.2747085656360872,0.2747085656360872,15.539787126203752,84,0.2723515342564968,0.22897324704848523,C_strong,trend + DVOL,110.0
C_strong +DVOL120,2021-03-24,2026-08-17,5.41,1.4976165720290875,0.18451689502807866,0.2578273241815384,0.32147127374923956,0.7156607454769175,0.5739763086017111,-0.2290544048876182,0.8055592518232028,0.0,2022,0.7280218933018447,2024,-0.1376404258495233,-0.13253507552346022,-0.22905440488761852,0.2747085656360872,0.2747085656360872,15.539787126203752,84,0.2723515342564968,0.22897324704848523,C_strong,trend + DVOL,120.0
D_long_veto trend-only,2021-03-24,2026-08-17,5.41,2.2838922303527127,0.24603613534601054,0.29148885475078856,0.27007487134105934,0.8440670417960292,0.9109923264031036,-0.29552257559981154,0.8325459902568859,-0.08107536244663649,2022,0.9156332262763844,2024,-0.11269729706382192,-0.13253507552346022,-0.20373755048979958,0.5347187024835276,0.4047136340598074,15.909782057780031,169,0.4046179087949945,0.35103690944100335,D_long_veto,trend only,
D_long_veto +DVOL60,2021-03-24,2026-08-17,5.41,2.1269069338564015,0.23479542591970337,0.2566644521016512,0.22812680230992663,0.9147952667271327,1.0292320917237814,-0.23697311401112942,0.9908104001565183,-0.07973990567621425,2022,0.8980334308080893,2024,-0.08192013294692324,-0.11325102326498782,-0.14172566695568622,0.5347187024835276,0.3733701799715862,15.825557896178323,375,0.3617022800870791,0.311211720966213,D_long_veto,trend + DVOL,60.0
D_long_veto +DVOL70,2021-03-24,2026-08-17,5.41,2.2198346916365614,0.24150343206672575,0.271952286162216,0.24561033826034118,0.8880360429206765,0.9832787731057876,-0.26123750709266125,0.9244592583754223,-0.08106700636812314,2022,0.9283338828846839,2024,-0.09525697597179639,-0.12331753503557175,-0.16434233972914003,0.5347187024835276,0.387520313101822,15.997300220936802,315,0.3808742496416775,0.3286850014431374,D_long_veto,trend + DVOL,70.0
D_long_veto +DVOL80,2021-03-24,2026-08-17,5.41,2.2020053993025384,0.24022876609837462,0.2831552418028361,0.25990480352275536,0.8483995018734225,0.9242952144104638,-0.28380060837279053,0.8464702294887915,-0.08107328458607943,2022,0.9140080896967726,2024,-0.10874771174194287,-0.13253507552346022,-0.18666442150921747,0.5347187024835276,0.3975642551119875,16.15904437131949,281,0.39417888483756874,0.3420716115952944,D_long_veto,trend + DVOL,80.0
D_long_veto +DVOL90,2021-03-24,2026-08-17,5.41,2.2556740405326914,0.24404838116514482,0.2899539079164953,0.26841411458414577,0.8416799170557449,0.909223352666268,-0.29550626068726293,0.8258653491724953,-0.08107536244663649,2022,0.9156332262763844,2024,-0.1128487770923875,-0.13253507552346022,-0.20175056466527663,0.5347187024835276,0.4035929741316714,16.0490002636125,214,0.4027641373295546,0.3496672491388207,D_long_veto,trend + DVOL,90.0
D_long_veto +DVOL100,2021-03-24,2026-08-17,5.41,2.2846024134294045,0.24608598240840474,0.2914806281176288,0.2700750584099858,0.8442618777021957,0.9111762628403671,-0.29552257559981154,0.8327146645528953,-0.08107536244663649,2022,0.9156332262763844,2024,-0.11269729706382192,-0.13253507552346022,-0.20373755048979958,0.5347187024835276,0.4046860550698616,15.921836206948427,172,0.4046074972849517,0.3510153186346842,D_long_veto,trend + DVOL,100.0
D_long_veto +DVOL110,2021-03-24,2026-08-17,5.41,2.2838922303527127,0.24603613534601054,0.29148885475078856,0.27007487134105934,0.8440670417960292,0.9109923264031036,-0.29552257559981154,0.8325459902568859,-0.08107536244663649,2022,0.9156332262763844,2024,-0.11269729706382192,-0.13253507552346022,-0.20373755048979958,0.5347187024835276,0.4047136340598074,15.909782057780031,169,0.4046179087949945,0.35103690944100335,D_long_veto,trend + DVOL,110.0
D_long_veto +DVOL120,2021-03-24,2026-08-17,5.41,2.2838922303527127,0.24603613534601054,0.29148885475078856,0.27007487134105934,0.8440670417960292,0.9109923264031036,-0.29552257559981154,0.8325459902568859,-0.08107536244663649,2022,0.9156332262763844,2024,-0.11269729706382192,-0.13253507552346022,-0.20373755048979958,0.5347187024835276,0.4047136340598074,15.909782057780031,169,0.4046179087949945,0.35103690944100335,D_long_veto,trend + DVOL,120.0
