symbol,coingecko_id,venue,cg_lc,dim_asset_id,in_dim_asset,in_fact_price
USDR,ring-usd,BINANCE,ring-usd,,False,False
USDA,usda-3,BINANCE,usda-3,,False,False
MNEE,mnee-usd-stablecoin,BINANCE,mnee-usd-stablecoin,,False,False
DOG,dog-go-to-the-moon-rune,BINANCE,dog-go-to-the-moon-rune,,False,False
AVNT,avantis,BINANCE,avantis,,False,False
REUSD,re-protocol-reusd,BINANCE,re-protocol-reusd,,False,False
SDAI,savings-xdai,BINANCE,savings-xdai,,False,False
ZIL,zilliqa,BINANCE,zilliqa,,False,False
XNO,nano,BINANCE,nano,,False,False
AGENTFUN,agentfun-ai,BINANCE,agentfun-ai,,False,False
UB,unibase,BINANCE,unibase,,False,False
RON,ronin,BINANCE,ronin,,False,False
DRIFT,drift-protocol,BINANCE,drift-protocol,,False,False
CASH,cash-4,BINANCE,cash-4,,False,False
XVG,verge,BINANCE,verge,,False,False
MOG,mog-coin,BINANCE,mog-coin,,False,False
NVM,novem-pro,BINANCE,novem-pro,,False,False
EDU,edu-coin,BINANCE,edu-coin,,False,False
PZETH,renzo-restaked-lst,BINANCE,renzo-restaked-lst,,False,False
STHYPE,staked-hype,BINANCE,staked-hype,,False,False
BERA,berachain-bera,BINANCE,berachain-bera,,False,False
CET,coinex-token,BINANCE,coinex-token,,False,False
USDC,bridged-usd-coin-linea,BINANCE,bridged-usd-coin-linea,,False,False
MBTC,babypie-wrapped-btc,BINANCE,babypie-wrapped-btc,,False,False
ORDI,ordinals,BINANCE,ordinals,,False,False
HSK,hashkey-ecopoints,BINANCE,hashkey-ecopoints,,False,False
ME,magic-eden,BINANCE,magic-eden,,False,False
NXPC,nexpace,BINANCE,nexpace,,False,False
USDT,cronos-bridged-usdt-cronos,BINANCE,cronos-bridged-usdt-cronos,,False,False
COCO,coco-2,BINANCE,coco-2,,False,False
PGOLD,pleasing-gold,BINANCE,pleasing-gold,,False,False
CETH,compound-ether,BINANCE,compound-ether,,False,False
