rebalance_date,snapshot_date,symbol,coingecko_id,venue,marketcap,volume_14d,has_price,has_volume,has_marketcap,is_stablecoin,is_blacklisted,meets_provider_filters,perp_eligible_proxy,meets_age,meets_listing_filters,meets_liquidity,meets_mcap,eligible,first_seen_date,exclusion_reason,data_proxy_label,proxy_version,proxy_source,source
2024-01-01,2024-01-01,AMP,amp-token,BINANCE,207630748.20168126,4876499.265913412,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ANA,nirvana-ana-2,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-07-13,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ANIME,anime,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-01-23,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ANKR,ankr,BINANCE,284934832.8326343,13306060.177351596,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ANKRETH,ankreth,BINANCE,55109749.323143445,47178.58379515843,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ANVL,anvil,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-10-18,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AO,ao-computer,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-03-19,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AP3X,apex-4,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-04-11,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,APE,apecoin,BINANCE,596799555.1476246,41055631.4156418,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,APEPE,ape-and-pepe,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-08-08,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,APEX,apex-token-2,BINANCE,14123689.094321938,171885.02883468193,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,API3,api3,BINANCE,194200356.97568417,61280908.04229169,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,APT,aptos,BINANCE,2895774869.536409,79284256.21047059,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,APTM,apertum,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-04-05,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AR,arweave,BINANCE,631390731.7844871,21663836.204564516,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ARB,arbitrum,BINANCE,1984422815.6033235,702783146.834246,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ARC,ai-rig-complex,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-12-12,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ARDR,ardor,BINANCE,98879755.4823809,1857286.2902734838,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ARK,ark,BINANCE,164420940.78305367,2700001.8177864794,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ARKM,arkham,BINANCE,100268457.82929619,10844928.685893895,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ARRR,pirate-chain,BINANCE,36210444.07563946,44890.56626689188,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
