date,f_btc,f_alt,alt_coverage,p_level,frac_hot_180,frac_cold_180,struct_hot,early_hot,struct_cold,score_raw,funding_regime_long,regime_bucket
2025-04-30,0.0040956666666666,0.0036319450171821,0.8818181818181818,0.7232142857142857,0.25663716814159293,0.25663716814159293,0.48992572692793934,0.46657711757269277,0.25663716814159293,0.0769911504424779,0.4358407079646017,GREEN
2025-05-01,-0.0043453333333333,0.0063718453608247,0.8818181818181818,0.8407079646017699,0.2543859649122807,0.2543859649122807,0.5475469647570252,0.5863219996894892,0.2543859649122807,0.07631578947368417,0.4364035087719298,GREEN
2025-05-02,-0.0040463333333333,0.0059380824742268,0.8818181818181818,0.8333333333333334,0.25217391304347825,0.25217391304347825,0.5427536231884058,0.5811594202898551,0.25217391304347825,0.07565217391304346,0.43695652173913047,AMBER
2025-05-03,0.0017373333333333,0.0028896288659793,0.8818181818181818,0.6260869565217392,0.25,0.25,0.4380434782608696,0.3760869565217392,0.25,0.07500000000000001,0.4374999999999999,AMBER
2025-05-04,0.0031243333333333,0.0013713814432989,0.8818181818181818,0.4482758620689655,0.2564102564102564,0.2564102564102564,0.35234305923961096,0.19186560565870914,0.2564102564102564,0.0769230769230769,0.4358974358974359,GREEN
2025-05-05,0.004185,0.0010190687285223,0.8818181818181818,0.41025641025641024,0.2542372881355932,0.2542372881355932,0.3322468491960017,0.15601912212081703,0.2542372881355932,0.07627118644067798,0.43644067796610164,AMBER
2025-05-06,0.0034909999999999,0.0002941271477663,0.8818181818181818,0.3559322033898305,0.25210084033613445,0.25210084033613445,0.30401652186298245,0.10383136305369606,0.25210084033613445,0.0756302521008403,0.4369747899159664,AMBER
2025-05-07,0.0015276666666666,0.0025455635738831,0.8818181818181818,0.5798319327731093,0.25,0.25,0.41491596638655465,0.3298319327731093,0.25,0.07499999999999998,0.4375,AMBER
2025-05-08,0.0048983333333333,0.0065048900343642,0.8818181818181818,0.8416666666666667,0.256198347107438,0.256198347107438,0.5489325068870523,0.5854683195592287,0.256198347107438,0.07685950413223133,0.43595041322314054,GREEN
2025-05-09,0.00781,0.0096505773195876,0.8818181818181818,0.9504132231404959,0.2540983606557377,0.2540983606557377,0.6022557918981168,0.6963148624847582,0.2540983606557377,0.07622950819672136,0.4364754098360655,AMBER
