date,strategy_return,btc_return,strategy_cumulative,btc_cumulative,w_BTC,w_ETH,w_SOL,w_BNB
2024-10-27,0.03782045630610753,0.006495386953124127,1.0283793575704387,1.5246605915976574,0.0,0.0,1.0,0.0
2024-10-28,0.03556285702092832,0.013733427520678854,1.0649514656269903,1.545599407325999,0.0,0.0,1.0,0.0
2024-10-29,0.008574568524004178,0.02806580779885004,1.0740829649437476,1.5889779032260272,0.0,0.0,1.0,0.0
2024-10-30,0.006894294722557426,0.04203301238528079,1.0814880094605481,1.6557674311122643,0.0,0.0,1.0,0.0
2024-10-31,-0.023914485614793812,-0.00602479615569973,1.055624780015732,1.6457917698585662,0.0,0.0,1.0,0.0
2024-11-01,-0.03813465189431775,-0.028719229499849952,1.0153688964988161,1.5985258983110338,0.0,0.0,1.0,0.0
2024-11-02,-0.01255510979118335,-0.010774565150034165,1.002620828524721,1.5813024768756647,0.0,0.0,1.0,0.0
2024-11-03,-0.001763097391929147,-0.003003430245958727,1.0008531103568552,1.576553145188607,0.0,0.0,1.0,0.0
2024-11-04,-0.020043431354724306,-0.00715238253385142,0.9807925797432553,1.5652770340092714,0.0,0.0,1.0,0.0
2024-11-05,-0.014682513880453385,-0.014682513880453385,0.9663920790773293,1.5422948322306753,1.0,0.0,0.0,0.0
2024-11-06,0.02274749501380202,0.02274749501380202,0.9883750780775186,1.5773781762366552,1.0,0.0,0.0,0.0
2024-11-07,0.09065294530360246,0.09065294530360246,1.0779741899699236,1.7203721537701329,1.0,0.0,0.0,0.0
2024-11-08,0.004844636615834119,0.004844636615834119,1.083196583201576,1.7287067316991491,1.0,0.0,0.0,0.0
2024-11-09,0.007406238049277425,0.007406238049277425,1.0912189949509308,1.7415099452715015,1.0,0.0,0.0,0.0
2024-11-10,0.0016774171679487804,0.0010477453584205598,1.0930494244270532,1.7433346042333029,0.0,0.0,1.0,0.0
2024-11-11,0.01976620744460167,0.05006497329726711,1.1146548660974809,1.830614604642445,0.0,1.0,0.0,0.0
2024-11-12,0.056670565585561716,0.10154140501042619,1.1778229877919237,2.0164977836304447,0.0,1.0,0.0,0.0
2024-11-13,-0.03316454653801881,-0.004206127134415483,1.1387610224997502,2.008016137586228,0.0,1.0,0.0,0.0
2024-11-14,-0.021170374364467115,0.025191303597959402,1.114653025341767,2.0586006817377647,0.0,1.0,0.0,0.0
2024-11-15,-0.03404411558342624,-0.03404411558342624,1.0767056489116162,1.988517442188564,1.0,0.0,0.0,0.0
2024-11-16,0.04050524087082219,0.04050524087082219,1.1203178705677561,2.069062820160243,1.0,0.0,0.0,0.0
2024-11-17,-0.013834851292791273,-0.003755116046017859,1.1048184394277947,2.06129324916404,0.0,0.0,1.0,0.0
2024-11-18,-0.008442918921754639,-0.008442918921754639,1.0954905469204463,2.043889917387388,1.0,0.0,0.0,0.0
2024-11-19,0.00973133576157692,0.007715286049680525,1.1061511332561627,2.0596591127540895,0.0,0.0,1.0,0.0
2024-11-20,-0.007774429854657039,0.01896542696822001,1.0975514388620131,2.098721427236456,0.0,0.0,1.0,0.0
2024-11-21,-0.007873302838175,0.021304441033531463,1.0889100840033779,2.143433514128824,0.0,0.0,1.0,0.0
2024-11-22,0.0898601214920196,0.04555542289568737,1.1867596764458066,2.241078534313752,0.0,0.0,1.0,0.0
2024-11-23,-0.003898205945429445,0.0042470825086420305,1.1821334428192896,2.250596579757329,0.0,0.0,1.0,0.0
2024-11-24,-0.012615614393054253,-0.012615614393054253,1.1672201031435478,2.2222039211527838,1.0,0.0,0.0,0.0
2024-11-25,0.0034446515098383035,0.0034446515098383035,1.171240769634155,2.2298586392449513,1.0,0.0,0.0,0.0
