asset_id,recent_unique_dates,recent_start,recent_end
CX,339,2023-03-06,2026-03-05
CXO,734,2023-03-06,2026-03-05
CXT,566,2023-03-06,2026-03-05
CYBER,754,2023-03-06,2026-03-05
CYPR,117,2023-03-06,2026-03-05
CYS,50,2023-03-06,2026-03-05
D,56,2023-03-06,2026-03-05
DADDY,595,2023-03-06,2026-03-05
DADDYDOGE,754,2023-03-06,2026-03-05
DAG,754,2023-03-06,2026-03-05
DAI,723,2023-03-06,2026-03-05
DAKU,204,2023-03-06,2026-03-05
DAM,395,2023-03-06,2026-03-05
DAO,754,2023-03-06,2026-03-05
DARKSTAR,214,2023-03-06,2026-03-05
DASH,754,2023-03-06,2026-03-05
DATA,754,2023-03-06,2026-03-05
DATOM,519,2023-03-06,2026-03-05
DAY,413,2023-03-06,2026-03-05
DBIT,114,2023-03-06,2026-03-05
DBR,470,2023-03-06,2026-03-05
DCR,754,2023-03-06,2026-03-05
DDX,695,2023-03-06,2026-03-05
DEEP,508,2023-03-06,2026-03-05
DEFI.SSI,400,2023-03-06,2026-03-05
DEFX,754,2023-03-06,2026-03-05
DEGEN,746,2023-03-06,2026-03-05
DEGO,754,2023-03-06,2026-03-05
DELABS,186,2023-03-06,2026-03-05
DENT,754,2023-03-06,2026-03-05
DEOD,754,2023-03-06,2026-03-05
DEP,754,2023-03-06,2026-03-05
DERO,754,2023-03-06,2026-03-05
DESO,754,2023-03-06,2026-03-05
DESU,754,2023-03-06,2026-03-05
DETH,121,2023-03-06,2026-03-05
DETO,717,2023-03-06,2026-03-05
DEURO,301,2023-03-06,2026-03-05
DEV,231,2023-03-06,2026-03-05
DEVVE,721,2023-03-06,2026-03-05
DEXE,754,2023-03-06,2026-03-05
DEXNET,692,2023-03-06,2026-03-05
DEXT,754,2023-03-06,2026-03-05
DEXTER,95,2023-03-06,2026-03-05
DEXTF,754,2023-03-06,2026-03-05
DF,754,2023-03-06,2026-03-05
DFDVSOL,171,2023-03-06,2026-03-05
DFDVX,209,2023-03-06,2026-03-05
DG,753,2023-03-06,2026-03-05
DGB,754,2023-03-06,2026-03-05
DGLD,44,2023-03-06,2026-03-05
DGNETH,384,2023-03-06,2026-03-05
DHB,701,2023-03-06,2026-03-05
DHC,149,2023-03-06,2026-03-05
DHT,754,2023-03-06,2026-03-05
DIA,754,2023-03-06,2026-03-05
DIAM,386,2023-03-06,2026-03-05
DIEM,198,2023-03-06,2026-03-05
DIGITS,618,2023-03-06,2026-03-05
DIMO,754,2023-03-06,2026-03-05
DINERO,552,2023-03-06,2026-03-05
DIONE,753,2023-03-06,2026-03-05
DIT,141,2023-03-06,2026-03-05
DIVER,754,2023-03-06,2026-03-05
DIVI,754,2023-03-06,2026-03-05
DJED,754,2023-03-06,2026-03-05
DJI6930,212,2023-03-06,2026-03-05
DKA,754,2023-03-06,2026-03-05
DL,133,2023-03-06,2026-03-05
DLC,754,2023-03-06,2026-03-05
DMC,220,2023-03-06,2026-03-05
DMD,754,2023-03-06,2026-03-05
DMT,754,2023-03-06,2026-03-05
DMTR,754,2023-03-06,2026-03-05
DNT,754,2023-03-06,2026-03-05
DNTRN,287,2023-03-06,2026-03-05
DNX,754,2023-03-06,2026-03-05
DOBO,754,2023-03-06,2026-03-05
DODO,754,2023-03-06,2026-03-05
DOG,754,2023-03-06,2026-03-05
DOGE,723,2023-03-06,2026-03-05
DOGE-1,673,2023-03-06,2026-03-05
DOGEKING,754,2023-03-06,2026-03-05
DOGINME,722,2023-03-06,2026-03-05
DOGS,522,2023-03-06,2026-03-05
DOLA,753,2023-03-06,2026-03-05
DOLO,281,2023-03-06,2026-03-05
DOLZ,754,2023-03-06,2026-03-05
DOOD,266,2023-03-06,2026-03-05
DOP2,118,2023-03-06,2026-03-05
DOPU,595,2023-03-06,2026-03-05
DORA,754,2023-03-06,2026-03-05
DOT,754,2023-03-06,2026-03-05
DOUBT,211,2023-03-06,2026-03-05
DOVU,754,2023-03-06,2026-03-05
DPHN,100,2023-03-06,2026-03-05
DPI,754,2023-03-06,2026-03-05
DRAGON,78,2023-03-06,2026-03-05
DRB,326,2023-03-06,2026-03-05
DREAM,39,2023-03-06,2026-03-05
DREAMS,372,2023-03-06,2026-03-05
DRESS,143,2023-03-06,2026-03-05
DRG,205,2023-03-06,2026-03-05
DRGN,754,2023-03-06,2026-03-05
DRIFT,624,2023-03-06,2026-03-05
DROP,678,2023-03-06,2026-03-05
DRV,380,2023-03-06,2026-03-05
DSOL,640,2023-03-06,2026-03-05
DSTRX,282,2023-03-06,2026-03-05
DSYNC,688,2023-03-06,2026-03-05
DUCK,411,2023-03-06,2026-03-05
DUPE,297,2023-03-06,2026-03-05
DUSD,478,2023-03-06,2026-03-05
