asset,system,rule,event_kind,n_events,p_confirm,cost_of_waiting_per_confirmed,loss_avoided_per_failed,expected_value_per_signal,ev_ci_lo,ev_ci_hi,breakeven_p_confirm,total_cost_of_waiting,total_loss_avoided,net_per_year,left_tail_p05,worst,best
ETH,LL2_k0.30,M3_linear,to_long,15,0.8666666666666667,-0.004234518683987567,0.07309658476478087,-0.013416127494760005,-0.029656262585535654,0.0006764651954564527,1.0614927626339206,-0.055048742891838365,0.14619316952956174,-0.02102505964299668,-0.06929844590926694,-0.08259193190356572,0.014537681181885365
ETH,LL2_k0.30,M3_linear,to_short,12,1.0,0.005378003746522493,,,-0.0045018235900999215,0.013463099636859743,,0.06453604495826992,-0.0,0.00844261834563327,-0.01974793929216698,-0.034684603575358186,0.028037012858770135
SOL,GERHARD_SMA120,M1_1close,all,50,0.6,0.0314785005632723,0.04755667497817882,-0.0001355696533081492,-0.014816066624519559,0.01536894901592854,0.6017153078028789,0.944355016898169,0.9511334995635764,-0.0014478601131813111,-0.10271317630675197,-0.14851633230697303,0.09744050716121999
SOL,GERHARD_SMA120,M1_1close,to_long,24,0.625,0.035741795686259396,0.0344755754527325,0.009410281509137437,-0.014846678244433068,0.03669999614329498,0.4909835685031523,0.536126935293891,0.3102801790745925,0.05152437708251017,-0.0915064525331074,-0.11856681700211658,0.09744050716121999
SOL,GERHARD_SMA120,M1_1close,to_short,26,0.5769230769230769,0.027215205440285203,0.05825939277172581,-0.008947124572488693,-0.024857680019341466,0.009164893186642693,0.6815989076335796,0.40822808160427804,0.6408533204889839,-0.05270866532421763,-0.09913352070288939,-0.14851633230697303,0.0957419058378236
SOL,GERHARD_SMA120,M2_2close,all,50,0.6,0.014248807060424258,0.00402261161658764,0.006940239589619499,-0.0024974338040021637,0.017403777136756483,0.22015869088746076,0.42746421181272776,0.0804522323317528,0.07412054123124334,-0.0272564560406778,-0.09952640733960383,0.09022700342722934
SOL,GERHARD_SMA120,M2_2close,to_long,24,0.625,0.015946167642573943,-0.008348895791887098,0.013097190698566376,-7.6433034448028e-05,0.03078762056861815,-1.0989334008276013,0.23919251463860913,-0.07514006212698388,0.07171141390607923,-0.020063222668287212,-0.022904260192395776,0.09022700342722934
SOL,GERHARD_SMA120,M2_2close,to_short,26,0.5769230769230769,0.012551446478274575,0.014144754041703334,0.0012569001044377658,-0.009644665341816813,0.012760073558921498,0.5298414668079156,0.18827169717411862,0.15559229445873668,0.007404560695901522,-0.03224539607728008,-0.09952640733960383,0.07137379779979258
SOL,GERHARD_SMA120,M3_linear,all,50,0.6,0.015365428303390875,0.018484623380413616,0.0018254076298690781,-0.00501182585453774,0.008691185916629419,0.5460737121786303,0.46096284910172625,0.36969246760827235,0.01949503324004914,-0.03684528528533667,-0.08579503761575327,0.05534622112561217
SOL,GERHARD_SMA120,M3_linear,to_long,24,0.625,0.017475627333621777,0.01182752897124502,0.0064869437192967274,-0.0032096350853229945,0.01784404637138343,0.4036264506182446,0.26213441000432663,0.10644776074120518,0.035518144062058166,-0.03542754167167982,-0.03952227233403889,0.05534622112561217
