asset,window,model,Sharpe,CAGR,MaxDD,dSharpe_vs_M0,dCAGR_vs_M0
BTC,2019-2025 (no 2026),M0_3close,1.2294711515737082,0.5965758922427291,-0.4834073664778906,0.0,0.0
BTC,2019-2025 (no 2026),M1_1close,1.4175208609861254,0.7354563521677735,-0.34805486480220493,0.18804970941241717,0.13888045992504439
BTC,2019-2025 (no 2026),FAST_both,1.4175208609861254,0.7354563521677735,-0.34805486480220493,0.18804970941241717,0.13888045992504439
BTC,2019-2025 (no 2026),M5_brk0.5_both,1.3887557193540412,0.7122472208275339,-0.32992365254775535,0.15928456778033295,0.11567132858480478
BTC,2019-2025 (no 2026),FAST_up,1.2948114236112878,0.6501592872714947,-0.46411213995097966,0.06534027203757953,0.053583395028765635
BTC,2019-2025 (no 2026),M5_brk0.5_up,1.271259889823517,0.6299620389310243,-0.4704168789951544,0.04178873824980878,0.033386146688295204
BTC,2019-2025 (no 2026),FAST_down,1.3518975471358077,0.679103220690904,-0.3463603894051154,0.12242639556209944,0.0825273284481749
BTC,2019-2025 (no 2026),M5_brk0.5_down,1.3467370717572655,0.677175645222825,-0.3463603894051155,0.1172659201835573,0.08059975298009592
BTC,2019-2026-07 (no Aug-2026 episode),M0_3close,1.1221557647033829,0.5018471710166932,-0.4834073664778906,0.0,0.0
BTC,2019-2026-07 (no Aug-2026 episode),M1_1close,1.323059892399588,0.6368958428962295,-0.34805486480220493,0.20090412769620514,0.1350486718795363
BTC,2019-2026-07 (no Aug-2026 episode),FAST_both,1.323059892399588,0.6368958428962295,-0.34805486480220493,0.20090412769620514,0.1350486718795363
BTC,2019-2026-07 (no Aug-2026 episode),M5_brk0.5_both,1.3041783036445749,0.622881856319399,-0.32992365254775535,0.18202253894119202,0.12103468530270578
BTC,2019-2026-07 (no Aug-2026 episode),FAST_up,1.1763694107904248,0.5423366313351454,-0.46411213995097966,0.05421364608704193,0.04048946031845224
BTC,2019-2026-07 (no Aug-2026 episode),M5_brk0.5_up,1.1594763978842906,0.5288899500358217,-0.4704168789951544,0.037320633180907725,0.02704277901912855
BTC,2019-2026-07 (no Aug-2026 episode),FAST_down,1.268838925616614,0.5939240117603677,-0.3463603894051154,0.14668316091323108,0.0920768407436745
BTC,2019-2026-07 (no Aug-2026 episode),M5_brk0.5_down,1.2667117613756533,0.5941765623814206,-0.3463603894051155,0.14455599667227048,0.0923293913647274
ETH,2019+ (walk-forward span),M0_3close,0.952118769552238,0.4860874338985892,-0.6608036765873619,0.0,0.0
ETH,2019+ (walk-forward span),M1_1close,0.8423595842395538,0.3793660160671428,-0.7073173206942802,-0.10975918531268414,-0.1067214178314464
ETH,2019+ (walk-forward span),FAST_both,0.8423595842395538,0.3793660160671428,-0.7073173206942802,-0.10975918531268414,-0.1067214178314464
ETH,2019+ (walk-forward span),M5_brk0.5_both,0.9706783164431058,0.4962724559392351,-0.6556365417008618,0.018559546890867806,0.010185022040645864
ETH,2019+ (walk-forward span),FAST_up,0.9852666056471423,0.5206807976938066,-0.6787308661319765,0.03314783609490435,0.03459336379521738
ETH,2019+ (walk-forward span),M5_brk0.5_up,1.0025148761629896,0.5354305103918569,-0.6289968180127077,0.05039610661075167,0.049343076493267635
ETH,2019+ (walk-forward span),FAST_down,0.8066834286228042,0.34798736614078485,-0.696192143648305,-0.14543534092943378,-0.13810006775780437
ETH,2019+ (walk-forward span),M5_brk0.5_down,0.9189697839293162,0.44818777496638096,-0.6239652960038917,-0.03314898562292179,-0.03789965893220826
ETH,2019-2021,M0_3close,1.5758835402283913,1.6402382731979612,-0.6146994096482346,0.0,0.0
ETH,2019-2021,M1_1close,1.3106056288574788,1.0699805954968147,-0.6923813122088075,-0.2652779113709125,-0.5702576777011465
ETH,2019-2021,FAST_both,1.3106056288574788,1.0699805954968147,-0.6923813122088075,-0.2652779113709125,-0.5702576777011465
ETH,2019-2021,M5_brk0.5_both,1.493174751003449,1.436734781178151,-0.6556365417008618,-0.08270878922494229,-0.20350349201981022
ETH,2019-2021,FAST_up,1.537913344883455,1.5587700890571101,-0.623304053072067,-0.037970195344936286,-0.08146818414085111
ETH,2019-2021,M5_brk0.5_up,1.56437200192286,1.6167109963999664,-0.6146994096482346,-0.01151153830553131,-0.023527276797994823
ETH,2019-2021,FAST_down,1.349560194370149,1.1358863058391062,-0.64108699483775,-0.22632334585824232,-0.504351967358855
