feature,bucket,n_events,p_confirm,cost_of_waiting_per_confirmed,loss_avoided_per_failed,expected_value_per_signal,ev_ci_lo,ev_ci_hi,breakeven_p_confirm,total_cost_of_waiting,total_loss_avoided,net_per_year,left_tail_p05,worst,best,asset,system,rule
brk_vol,2.5-3,0,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
brk_vol,>3,0,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
range_breakout_20,<0.5,75,0.96,0.005408171394919507,-0.0,0.005191844539122726,-0.0011200221914405254,0.012059979793767826,-0.0,0.38938834043420445,-0.0,0.03876372072597252,-0.024216357507509233,-0.08078537769806138,0.12797560457132917,BTC,LL3_k0.30,M1_1close
range_breakout_20,0.5-1,4,1.0,0.004465434963377618,,,,,,0.017861739853510472,-0.0,0.003156265351473004,0.0,0.0,0.017861739853510472,BTC,LL3_k0.30,M1_1close
range_breakout_20,1-1.5,1,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
range_breakout_20,1.5-2,1,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
range_breakout_20,2-2.5,0,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
range_breakout_20,2.5-3,1,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
range_breakout_20,>3,3,1.0,0.0053197313532495905,,,,,,0.01595919405974877,-0.0,0.0020561183881210717,0.0005607370746361306,0.0,0.010351823313387465,BTC,LL3_k0.30,M1_1close
trend_agree_count,0-2,2,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
trend_agree_count,3-4,27,0.9259259259259259,0.0033885327046106095,-0.0,0.0031375302820468606,-0.007568364506011241,0.01387798278973514,-0.0,0.08471331761526524,-0.0,0.008442439088397171,-0.026438324873069453,-0.08078537769806138,0.07694359357322789,BTC,LL3_k0.30,M1_1close
