feature,bucket,n,confirmed_rate,confirmed_lo,confirmed_hi,reversed_early_rate,reversed_early_lo,reversed_early_hi,valid_3d_rate,valid_3d_lo,valid_3d_hi,valid_5d_rate,valid_5d_lo,valid_5d_hi,valid_10d_rate,valid_10d_lo,valid_10d_hi,valid_20d_rate,valid_20d_lo,valid_20d_hi,fwd_3d_mean,mae_3d_median,mfe_3d_median,excess_3d_mean,fwd_3d_median,win_3d,fwd_5d_mean,mae_5d_median,mfe_5d_median,excess_5d_mean,fwd_5d_median,win_5d,fwd_10d_mean,mae_10d_median,mfe_10d_median,excess_10d_mean,fwd_10d_median,win_10d,fwd_20d_mean,mae_20d_median,mfe_20d_median,excess_20d_mean,fwd_20d_median,win_20d,binning,system,asset
range_breakout_20,<0.5,59,0.4745762711864407,0.35265669027401325,0.5996042324268729,0.5254237288135594,0.4003957675731271,0.6473433097259869,0.5423728813559322,0.4165761502342809,0.6629889785975757,0.559322033898305,0.4328913027042265,0.6784998776603726,0.6271186440677966,0.49953356682142136,0.7391618196741485,0.6271186440677966,0.49953356682142136,0.7391618196741485,-0.020145933009291354,-0.03471822035570782,0.0313588237363257,-0.02034839473945525,-0.00995839813067878,0.4067796610169492,-0.008943766591033747,-0.0394078069634326,0.04190476190476189,-0.009495445561038368,-0.008532695606242258,0.4576271186440678,-0.007831387978523778,-0.07081056466302371,0.049496644295301984,-0.00958674062907667,-0.0015506894190620013,0.4745762711864407,-0.02360745637196743,-0.11095576150474806,0.08824832512116865,-0.02797063235702666,0.005784784395138631,0.5254237288135594,sigma,GERHARD_SMA120,ETH
range_breakout_20,0.5-1,5,0.8,0.3755282641185388,0.9637768390302125,0.2,0.03622316096978745,0.6244717358814613,0.8,0.3755282641185388,0.9637768390302125,1.0,0.5655085052479191,1.0000000000000002,1.0,0.5655085052479191,1.0000000000000002,0.6,0.23071993220883708,0.8823817688407467,0.027063933334072598,-0.030104607522159155,0.06245291932127217,0.022642914455487016,0.03423643118879505,0.8,0.057646518297481755,-0.030104607522159155,0.06245291932127217,0.04975149493604847,0.048612965075358616,0.8,0.0980261368818682,-0.04083440526175275,0.08657136616265815,0.07975449189793352,0.046952355602874585,0.8,0.10049282138026916,-0.10504089508045522,0.21107266435986172,0.05890326510684267,0.12637742879957425,0.6,sigma,GERHARD_SMA120,ETH
range_breakout_20,1-1.5,3,1.0,0.43849391955098227,1.0,0.0,0.0,0.5615060804490177,1.0,0.43849391955098227,1.0,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.3333333333333333,0.0614903152761605,0.7923450448735121,-0.028178423345837384,-0.031991850524171084,0.0964931874022783,-0.009940417374084515,0.011308687186496691,0.6666666666666666,-0.06239417647484968,-0.10367371149308191,0.0964931874022783,-0.031510492624816124,-0.03677579915152607,0.3333333333333333,-0.08220967113138984,-0.17776688888602343,0.0964931874022783,-0.016114065189315626,-0.05959948936828674,0.3333333333333333,-0.14603663318787738,-0.27367796675735967,0.0964931874022783,-5.3704731729636856e-05,-0.2557155936093667,0.3333333333333333,sigma,GERHARD_SMA120,ETH
range_breakout_20,1.5-2,1,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,-0.0025591368100705836,-0.04440448194771074,0.033822105408770176,-0.00405475127742548,-0.0025591368100705836,0.0,0.08977728593166412,-0.04440448194771074,0.10603126296859866,0.08732282582866836,0.08977728593166412,1.0,-0.06985751832895293,-0.1305851431733297,0.14552496887536304,-0.07624162313880208,-0.06985751832895293,0.0,-0.06861253285378344,-0.15098907179416243,0.14552496887536304,-0.09248930443899565,-0.06861253285378344,0.0,sigma,GERHARD_SMA120,ETH
range_breakout_20,2-2.5,2,0.5,0.09452865480086614,0.9054713451991339,0.5,0.09452865480086614,0.9054713451991339,0.5,0.09452865480086614,0.9054713451991339,0.5,0.09452865480086614,0.9054713451991339,0.5,0.09452865480086614,0.9054713451991339,1.0,0.34237195288961925,1.0,-0.043789945567487776,-0.10354431985282603,0.05829998245215218,-0.07005568442498583,-0.043789945567487776,0.5,-0.030344672775368786,-0.10354431985282603,0.05829998245215218,-0.07465612849327778,-0.030344672775368786,0.5,-0.04712514051097294,-0.10354431985282603,0.06088739979067925,-0.14153724816995764,-0.04712514051097294,0.5,0.054056237718642985,-0.10354431985282603,0.13492320466430918,-0.15246356852017845,0.054056237718642985,0.5,sigma,GERHARD_SMA120,ETH
range_breakout_20,2.5-3,1,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.02322915409677795,-0.0456739471461326,0.052974538433691265,0.004235531884588122,0.02322915409677795,1.0,0.006093881983830096,-0.0456739471461326,0.08193556172318073,-0.027263822918683726,0.006093881983830096,1.0,-0.02075540002413412,-0.06793773379992774,0.08193556172318073,-0.09308231172981019,-0.02075540002413412,0.0,0.1428743815614817,-0.06793773379992774,0.17780861590442854,-0.009871477146035423,0.1428743815614817,1.0,sigma,GERHARD_SMA120,ETH
range_breakout_20,>3,3,1.0,0.43849391955098227,1.0,0.0,0.0,0.5615060804490177,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,-0.003210477857707857,-0.03830933139606352,0.13159951680522997,0.0016850161579404037,0.03258764826533311,0.6666666666666666,0.02459819723526831,-0.03830933139606352,0.13159951680522997,0.03328966247079164,0.0239109001477531,0.6666666666666666,0.0016274624123998234,-0.03830933139606352,0.14003766076884827,0.021207407281834706,0.02327728177719024,0.6666666666666666,-0.03947213911914801,-0.03830933139606352,0.14003766076884827,0.003926861813375889,0.012224464769999166,0.6666666666666666,sigma,GERHARD_SMA120,ETH
range_breakout_60,<0.5,71,0.5352112676056338,0.4203903355696419,0.6464174290959985,0.4647887323943662,0.35358257090400147,0.5796096644303581,0.5915492957746479,0.4753857081544497,0.6983144799762155,0.5915492957746479,0.4753857081544497,0.6983144799762155,0.647887323943662,0.5318184572117227,0.7487741543839675,0.6338028169014085,0.5175700445451693,0.7362994611842647,-0.01741235374100138,-0.03830933139606352,0.04190476190476189,-0.018204235122153682,-0.00605510142294885,0.4507042253521127,-0.006767305699173471,-0.04001641340835782,0.052901830117366266,-0.008330226975976322,-0.006459344285200119,0.49295774647887325,-0.006454706867016542,-0.07058136065247655,0.06467926537130686,-0.010348399302276174,-0.0015506894190620013,0.4788732394366197,-0.017689261472502722,-0.11095576150474806,0.09270943674296506,-0.02662226153435487,0.005784784395138631,0.5211267605633803,sigma,GERHARD_SMA120,ETH
range_breakout_60,0.5-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sigma,GERHARD_SMA120,ETH
range_breakout_60,1-1.5,1,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.06412923911282409,-0.011805987840130983,0.11920253088998978,0.06290115685342362,0.06412923911282409,1.0,0.1129392603456949,-0.011805987840130983,0.16782921608922918,0.11109968318010331,0.1129392603456949,1.0,0.07814805024260041,-0.011805987840130983,0.16782921608922918,0.0735391715802862,0.07814805024260041,1.0,0.12205063485431178,-0.011805987840130983,0.18933922282576243,0.10917059764821088,0.12205063485431178,1.0,sigma,GERHARD_SMA120,ETH
