asset,system,exposure,model,window,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew,Trades,Whipsaws,WhipsawsPerYr,TurnoverPerYr,Exposure,UpCapture,DownCapture,WorstMonth
BTC,LL3_k0.30,long_short,M1_1close,full,3692,0.37721908256962466,0.617175942710422,0.825678166993357,1.0554353987927814,-0.8207952154207709,0.4595775846186527,-0.16643230640130977,0.3917058649121937,45,14,1.3840736728060672,8.699891657638135,0.8109425785482124,0.4160585511886309,0.09193110485807998,-0.30486244890517333
BTC,LL3_k0.30,long_short,M1_1close,train_<=2021,1974,0.640961871205326,0.7297358761027464,1.0418015848981457,1.3541485744201567,-0.8207952154207709,0.7809035179094513,-0.16643230640130977,0.3410925668426119,25,7,1.2943262411347518,8.875379939209727,0.8140830800405269,0.5340513370158398,0.30414351711417986,-0.30486244890517333
BTC,LL3_k0.30,long_short,M1_1close,validation_2022-23,730,0.311249264326106,0.5013326600968981,0.7896363123678021,1.0504866667338815,-0.33796984722525814,0.9209379679325571,-0.14553439363372195,0.42686171603559975,8,1,0.5,7.0,0.8342465753424657,0.0021831931394075154,-0.5085974111628949,-0.16618163635210104
BTC,LL3_k0.30,long_short,M1_1close,test_2024+,988,0.006276060773532377,0.41649736943266163,0.22284915641631303,0.2880926274888388,-0.4841933020806728,0.01296189093604336,-0.12351182687910213,0.17533903319595018,14,6,2.216599190283401,9.605263157894736,0.7874493927125507,0.2185279847372905,0.18843592516360874,-0.15962659476347918
BTC,LL3_k0.30,long_short,M2_2close,full,3692,0.32422976683001226,0.6140657000808325,0.7630558592841208,0.9695013902463765,-0.8110760543756274,0.3997526065291212,-0.16643230640130977,0.36033142879289987,43,14,1.3840736728060672,8.304442036836402,0.8114842903575298,0.39258972672605175,0.08654666929047153,-0.38918189745302767
BTC,LL3_k0.30,long_short,M2_2close,train_<=2021,1974,0.5561686193979871,0.7249169087634331,0.9709398346059387,1.2536645330750769,-0.8110760543756274,0.6857169761054406,-0.16643230640130977,0.3156136032373729,24,6,1.109422492401216,8.505572441742656,0.8145896656534954,0.5226037101601951,0.3305910036097345,-0.38918189745302767
BTC,LL3_k0.30,long_short,M2_2close,validation_2022-23,730,0.2536873278891809,0.4971936930287307,0.7020417944612678,0.9202813610408459,-0.3616047277640835,0.7015597651552014,-0.14553439363372195,0.36356199219308805,8,1,0.5,7.0,0.8342465753424657,-0.07651598410333961,-0.5399656846453429,-0.16618163635210104
BTC,LL3_k0.30,long_short,M2_2close,test_2024+,988,-0.0011862522611623127,0.41991599274358316,0.20666106578899401,0.2680075421620398,-0.46885527820059514,-0.0025301032457499314,-0.12351182687910213,0.1897781469948095,13,7,2.5860323886639676,8.866396761133604,0.7884615384615384,0.1847294043689133,0.12793296863460746,-0.17837622918451523
BTC,LL3_k0.30,long_short,M3_linear,full,3692,0.3415989226171434,0.6114933947651582,0.7849508675759365,1.0054942343261406,-0.7946748143247004,0.4298600087224706,-0.16643230640130977,0.37212881035675965,42,13,1.2852112676056338,8.370350306970025,0.8115745756590826,0.3948020920252558,0.08005686050041444,-0.33023133448104935
BTC,LL3_k0.30,long_short,M3_linear,train_<=2021,1974,0.5873372293253694,0.722421679340538,0.9991947795275619,1.2994186361559101,-0.7946748143247004,0.7390912845582974,-0.16643230640130977,0.32510109500599554,23,5,0.9245187436676798,8.505572441742656,0.8149273893954744,0.521637774258318,0.3110482121709982,-0.33023133448104935
BTC,LL3_k0.30,long_short,M3_linear,validation_2022-23,730,0.26750752396206967,0.495370157198453,0.7248788759230201,0.9609407955763636,-0.3627409303273198,0.7374616471339032,-0.14553439363372195,0.3818254598475733,8,1,0.5,7.0,0.8342465753424657,-0.06250102405365317,-0.5365489073333456,-0.16618163635210104
BTC,LL3_k0.30,long_short,M3_linear,test_2024+,988,-0.00021413711142526104,0.41599614299273086,0.20702588686053242,0.26998834372251873,-0.4678301982763645,-0.0004577240037394131,-0.12351182687910213,0.1892251308707442,13,7,2.5860323886639676,9.112685560053981,0.7881241565452093,0.1917719963688241,0.1448575664031639,-0.16153373673710014
BTC,LL2_k0.30,long_flat,M0_3close,full,3675,0.6026173794482705,0.5387321327294537,1.1477863461134368,1.1575102123154375,-0.6608193441553727,0.9119245445493229,-0.3881242874509483,-0.020493492301125026,13,3,0.2979591836734694,2.3836734693877553,0.5689795918367347,0.6998771924766194,0.48121616452265814,-0.3734345113881763
BTC,LL2_k0.30,long_flat,M0_3close,train_<=2021,1957,1.1202609507624368,0.6699658611619304,1.4621843235109124,1.5132001216665065,-0.6608193441553727,1.6952605287218099,-0.3881242874509483,-0.15745976150145427,6,1,0.18650996423096577,2.0516096065406235,0.6218702095043434,0.7714703375452209,0.5564686315097293,-0.3734345113881763
BTC,LL2_k0.30,long_flat,M0_3close,validation_2022-23,730,0.1719050712180088,0.29377713569282654,0.6853773377830732,0.7110953358441238,-0.18574745713116225,0.925477386732789,-0.07222659109541951,1.022241425993679,3,1,0.5,2.5,0.426027397260274,0.4117586462551206,0.22084826577539474,-0.128803116745265
BTC,LL2_k0.30,long_flat,M0_3close,test_2024+,988,0.16008065331428956,0.35436383748032385,0.5950848702458118,0.6937031897403361,-0.38234616215849004,0.4186799009844199,-0.08597399599514044,0.5512840228299526,5,1,0.3694331983805668,2.9554655870445345,0.569838056680162,0.6077609872669875,0.5667135281989267,-0.17687049256107146
BTC,LL2_k0.30,long_flat,M1_1close,full,3675,0.6497069692434188,0.5361920129139436,1.2044132997089776,1.2276092311394144,-0.6477343881209383,1.0030453549458798,-0.3881242874509483,0.039064662260568365,13,2,0.19863945578231293,2.3836734693877553,0.5689795918367347,0.7254447939909949,0.49440118280534257,-0.3401470721061526
