feature,threshold,window,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew,Trades,Whipsaws,WhipsawsPerYr,TurnoverPerYr,Exposure,UpCapture,DownCapture,WorstMonth,M0_sharpe,asset,system,exposure
range_breakout_20,0.75,full,1737,0.19461669980430907,0.5903290954287327,0.5911432926851322,0.7200275997828556,-0.6669993757956959,0.29177943318483823,-0.1457268244129757,1.035912851916673,17,10,2.1013241220495105,6.7242371905584335,0.4444444444444444,0.5627745443647598,0.42448455136245267,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
range_breakout_20,0.75,validation_2022-23,730,0.6463247133404224,0.6029006829232918,1.1186357866765317,1.3355821689198235,-0.49517219807516155,1.305252427040174,-0.11838140335772707,1.7960312149577904,5,2,1.0,4.5,0.35753424657534244,0.5037803536749768,0.22061529830279403,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
range_breakout_20,0.75,test_2024+,988,-0.05302024691892826,0.5727480717043324,0.18919231242029244,0.2327837197913442,-0.6669993757956957,-0.07949069945631936,-0.1457268244129757,0.4609177726911008,12,7,2.5860323886639676,8.12753036437247,0.49898785425101216,0.6433528897722085,0.6809940111836867,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
range_breakout_20,1.0,full,1737,0.20035901040417614,0.5901398093253893,0.5992736099599237,0.7288089481930917,-0.6669993757956959,0.30038860256077177,-0.1457268244129757,1.036273760701353,17,10,2.1013241220495105,6.7242371905584335,0.4432930339666091,0.5627745443647598,0.42061825178082674,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
range_breakout_20,1.0,validation_2022-23,730,0.6463247133404224,0.6029006829232918,1.1186357866765317,1.3355821689198235,-0.49517219807516155,1.305252427040174,-0.11838140335772707,1.7960312149577904,5,2,1.0,4.5,0.35753424657534244,0.5037803536749768,0.22061529830279403,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
range_breakout_20,1.0,test_2024+,988,-0.04500287680433235,0.5724143029957292,0.20369547206347102,0.24999884472268752,-0.6669993757956957,-0.06747064305816816,-0.1457268244129757,0.4605624880875132,12,7,2.5860323886639676,8.12753036437247,0.49696356275303644,0.6433528897722085,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
range_breakout_20,1.25,full,1737,0.15835217715191963,0.5870921110385768,0.5387865975999218,0.6511865860831532,-0.6921829343540441,0.22877214865127576,-0.1457268244129757,1.029228587463662,17,10,2.1013241220495105,6.7242371905584335,0.4409902130109384,0.5329726111965051,0.42061825178082674,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
range_breakout_20,1.25,validation_2022-23,730,0.5731867214073421,0.5971724781877162,1.0477810833613455,1.2352843521189802,-0.49517219807516155,1.15755028984955,-0.11838140335772707,1.7937026082705532,5,2,1.0,4.5,0.3547945205479452,0.46843657939171274,0.22061529830279403,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
range_breakout_20,1.25,test_2024+,988,-0.07234807517662589,0.5713573558827831,0.15218564276639052,0.18643886233223564,-0.6921829343540439,-0.10452161066950064,-0.1457268244129757,0.46565858018972917,12,7,2.5860323886639676,8.12753036437247,0.4949392712550607,0.6211203864467431,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
range_breakout_20,1.5,full,1737,0.18943918416091865,0.5845860966346622,0.5837157164919737,0.7120502816240901,-0.6921829343540444,0.27368369654722297,-0.1457268244129757,1.0690028148463875,16,9,1.8911917098445596,6.303972366148532,0.44041450777202074,0.5329726111965051,0.3991293176299503,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
range_breakout_20,1.5,validation_2022-23,730,0.6755131118307103,0.5911992343844881,1.1586439812685518,1.4032103071147088,-0.42736435015011354,1.580649185158831,-0.11838140335772707,1.911007666871216,4,1,0.5,3.5,0.35342465753424657,0.46843657939171274,0.18181007087690973,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
range_breakout_20,1.5,test_2024+,988,-0.07234807517662589,0.5713573558827831,0.15218564276639052,0.18643886233223564,-0.6921829343540439,-0.10452161066950064,-0.1457268244129757,0.46565858018972917,12,7,2.5860323886639676,8.12753036437247,0.4949392712550607,0.6211203864467431,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
range_breakout_20,1.75,full,1737,0.18943918416091865,0.5845860966346622,0.5837157164919737,0.7120502816240901,-0.6921829343540444,0.27368369654722297,-0.1457268244129757,1.0690028148463875,16,9,1.8911917098445596,6.303972366148532,0.44041450777202074,0.5329726111965051,0.3991293176299503,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
