asset,system,dimension,level,n,p_confirm,p_valid_10d,fwd_10d_mean,incr_m1_mean,incr_m1_sum
BTC,LL2_k0.30,liquidity_regime,high,11,1.0,0.9090909090909091,0.034231773864976174,0.00653341166513376,0.07186752831647136
BTC,LL2_k0.30,liquidity_regime,low,13,1.0,1.0,0.02051935210889357,0.015729729605797636,0.20448648487536925
BTC,LL2_k0.30,weekend,0,17,1.0,0.9411764705882353,0.003690138248133559,0.003966970334295886,0.06743849568303006
BTC,LL2_k0.30,weekend,1,7,1.0,1.0,0.08293839138744054,0.029845073929830077,0.20891551750881054
BTC,LL2_k0.30,macro_risk_on,0.0,9,1.0,1.0,0.02945530588322118,0.03756467242744815,0.3380820518470333
BTC,LL2_k0.30,macro_risk_on,1.0,13,1.0,0.9230769230769231,0.026835566478332108,-0.006142094295203122,-0.07984722583764059
ETH,GERHARD_SMA120,vol_regime,high,6,0.6666666666666666,0.6666666666666666,-0.05332406108912265,-0.04854024372563485,-0.2912414623538091
ETH,GERHARD_SMA120,vol_regime,low,37,0.6216216216216216,0.7837837837837838,0.01817423565571252,-0.004665204923653581,-0.1726125821751825
ETH,GERHARD_SMA120,vol_regime,mid,26,0.5,0.5,-0.01993931260051496,-0.024092419224116576,-0.626402899827031
ETH,GERHARD_SMA120,bull_env,bear,28,0.5,0.6428571428571429,-0.0017583575808177432,-0.012485191049386094,-0.3495853493828106
ETH,GERHARD_SMA120,bull_env,bull,46,0.5869565217391305,0.6739130434782609,-0.007593413469405829,-0.02329933440974711,-1.071769382848367
ETH,GERHARD_SMA120,liquidity_regime,high,39,0.6153846153846154,0.6666666666666666,0.016663162177535933,0.0006114283026567765,0.023845703803614282
ETH,GERHARD_SMA120,liquidity_regime,low,35,0.4857142857142857,0.6571428571428571,-0.02995412447941332,-0.04129144102956549,-1.445200436034792
ETH,GERHARD_SMA120,weekend,0,59,0.6101694915254238,0.6779661016949152,0.004564693133136387,-0.010479810916303072,-0.6183088440618812
ETH,GERHARD_SMA120,weekend,1,15,0.3333333333333333,0.6,-0.044523195114040785,-0.053536392544619754,-0.8030458881692963
ETH,GERHARD_SMA120,macro_risk_on,0.0,16,0.5,0.5,-0.04076437308963657,-0.030097548220812016,-0.48156077153299226
ETH,GERHARD_SMA120,macro_risk_on,1.0,52,0.6153846153846154,0.7307692307692307,0.015224241736424988,-0.0073215348279865675,-0.3807198110553015
ETH,LL3_k0.30,vol_regime,high,10,1.0,0.8,-0.019943789891038666,-0.024448218179947755,-0.24448218179947756
ETH,LL3_k0.30,vol_regime,low,38,1.0,0.7631578947368421,0.020970453402349324,-0.006323278456781071,-0.24028458135768072
ETH,LL3_k0.30,vol_regime,mid,24,0.9166666666666666,0.7916666666666666,0.007647014208726317,-0.00870976051657107,-0.20903425239770568
