feature,bucket,n,confirmed_rate,confirmed_lo,confirmed_hi,reversed_early_rate,reversed_early_lo,reversed_early_hi,valid_3d_rate,valid_3d_lo,valid_3d_hi,valid_5d_rate,valid_5d_lo,valid_5d_hi,valid_10d_rate,valid_10d_lo,valid_10d_hi,valid_20d_rate,valid_20d_lo,valid_20d_hi,fwd_3d_mean,mae_3d_median,mfe_3d_median,excess_3d_mean,fwd_3d_median,win_3d,fwd_5d_mean,mae_5d_median,mfe_5d_median,excess_5d_mean,fwd_5d_median,win_5d,fwd_10d_mean,mae_10d_median,mfe_10d_median,excess_10d_mean,fwd_10d_median,win_10d,fwd_20d_mean,mae_20d_median,mfe_20d_median,excess_20d_mean,fwd_20d_median,win_20d,binning,system
perp_vol_z,Q5,31,1.0,0.889740999265246,0.9999999999999999,0.0,-1.3877787807814457e-17,0.11025900073475385,1.0,0.889740999265246,0.9999999999999999,0.8709677419354839,0.7114724304561464,0.9486579883535524,0.7096774193548387,0.5340734004245933,0.8390437928156713,0.6451612903225806,0.469476380428149,0.7888355225843418,0.009630021970324221,-0.04425897159105863,0.06703827573392784,0.0077718138379216555,0.010994044892350008,0.5483870967741935,0.003489082516064333,-0.05247199910604228,0.08917643222694549,0.0005210917988476936,0.03294722562161456,0.5806451612903226,0.001847772380569936,-0.07626481734061297,0.1034690280703261,-0.004181886260598609,0.01795357620238669,0.5806451612903226,0.0167935171818951,-0.10211072948968725,0.13704968601960998,0.0063735794012380175,0.043010752688172005,0.6451612903225806,"quintile(full-sample, descriptive)",LL3_k0.30
funding_z90,Q1,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.03333333333333333,0.0059084379948573795,0.16670751396958874,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9333333333333333,0.7867618227892791,0.9815233646723066,0.7666666666666667,0.5907132766967574,0.8820776078949878,0.4666666666666667,0.30232127224128236,0.6385798671847496,0.02004472360988263,-0.024135135085696702,0.03764626302755347,0.016418451938762808,-0.0013350045796137744,0.4666666666666667,0.035851326431191606,-0.02882943078317257,0.04908158331270984,0.029747297142841966,0.014828869728201188,0.5333333333333333,0.049530427535773955,-0.042707372496087526,0.07030921309494864,0.03754913190641323,0.05027105829062872,0.6333333333333333,0.0436646841523811,-0.06055157077494089,0.1303690804544098,0.019993887758222594,0.04503726005002273,0.6666666666666666,"quintile(full-sample, descriptive)",LL3_k0.30
funding_z90,Q2,30,1.0,0.8864829086095221,1.0,0.0,-1.3877787807814457e-17,0.113517091390478,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,0.9,0.7437855868473339,0.9654007400402839,0.7,0.5212387898833981,0.8333543735604105,0.02081964198924164,-0.02569275721409403,0.03135322563915682,0.016780946683996028,0.00836148848706686,0.5666666666666667,0.03295615457244315,-0.03513741593815323,0.06002353478721345,0.02637612356736394,0.02113276037849038,0.6666666666666666,0.04715502570105688,-0.04488131832547748,0.11067376887738323,0.03454346129461372,0.027143545541461145,0.6666666666666666,0.05780583377386754,-0.06010892409165558,0.13511604485518153,0.033071489567985446,0.029737783426892483,0.5666666666666667,"quintile(full-sample, descriptive)",LL3_k0.30
funding_z90,Q3,30,1.0,0.8864829086095221,1.0,0.0,-1.3877787807814457e-17,0.113517091390478,1.0,0.8864829086095221,1.0,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.5666666666666667,0.3919700954540873,0.7262276256938489,0.0015334373315959511,-0.0484324970765152,0.032957056141907304,0.0007398156382410236,-0.0008471706537752643,0.5,0.007988048883621665,-0.061591323322689684,0.05451315384579686,0.006914185739700753,-0.0030283618556863345,0.4666666666666667,0.02952320114647925,-0.07059021709910951,0.08820917230735337,0.027665724983858754,0.03311124731181564,0.6,0.03891569549934766,-0.08633774916983228,0.16061470410478745,0.037774509028457824,0.07574192095554494,0.6,"quintile(full-sample, descriptive)",LL3_k0.30
funding_z90,Q4,30,1.0,0.8864829086095221,1.0,0.0,-1.3877787807814457e-17,0.113517091390478,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.7,0.5212387898833981,0.8333543735604105,0.5666666666666667,0.3919700954540873,0.7262276256938489,-0.02074615447150843,-0.05315150652542244,0.04961048885579944,-0.016126090901724628,-0.02089100006057354,0.43333333333333335,-0.04994731757926004,-0.08265259053646123,0.058782559002099555,-0.04260072001223779,-0.053990331576331485,0.3333333333333333,-0.07578189637768906,-0.11684657179054359,0.06324086034238591,-0.06288068107826096,-0.0686626120028403,0.3,-0.0764856402006832,-0.1436209057107345,0.08754771921537202,-0.0526055800592138,-0.08149760744509099,0.3333333333333333,"quintile(full-sample, descriptive)",LL3_k0.30
funding_z90,Q5,30,1.0,0.8864829086095221,1.0,0.0,-1.3877787807814457e-17,0.113517091390478,1.0,0.8864829086095221,1.0,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.9,0.7437855868473339,0.9654007400402839,0.8,0.6269395261897256,0.9049502189759876,0.025944507572663467,-0.023526314760822342,0.06107316086467607,0.027074156496755316,0.02775104384992172,0.7333333333333333,0.019694352473073072,-0.029029072157617353,0.06785555231635482,0.021704187587147736,0.02053387316467592,0.6666666666666666,0.009781646465111756,-0.038938879744699895,0.09027731700105396,0.01411730744744544,0.008109573596593589,0.5333333333333333,0.031003225445172203,-0.057959110807228154,0.11162094887507679,0.04053924243356375,0.031982874691380336,0.6666666666666666,"quintile(full-sample, descriptive)",LL3_k0.30
premium_z90,Q1,29,1.0,0.8830264055344442,1.0,0.0,0.0,0.11697359446555587,1.0,0.8830264055344442,1.0,1.0,0.8830264055344442,1.0,0.7241379310344828,0.5428252365556403,0.8530141866149725,0.41379310344827586,0.2551293527964552,0.5926247152148476,0.019984985770309636,-0.027419707231811308,0.030825939285432202,0.019497125500975234,-0.000286076997335849,0.4827586206896552,0.022034463547557667,-0.029811143102242088,0.05474939210918495,0.021043093269306385,0.015772236080235702,0.5517241379310345,0.021378620067637442,-0.055853880854305316,0.06248231365668677,0.018939484857258233,0.01795357620238669,0.5517241379310345,0.012001787730247975,-0.06420553558803765,0.12850779270058443,0.005552719495658951,0.03416796137307743,0.5517241379310345,"quintile(full-sample, descriptive)",LL3_k0.30
premium_z90,Q2,29,1.0,0.8830264055344442,1.0,0.0,0.0,0.11697359446555587,1.0,0.8830264055344442,1.0,1.0,0.8830264055344442,1.0,0.8275862068965517,0.6545119942718488,0.9240225472852007,0.6206896551724138,0.4400222620928496,0.7731220426913266,0.013856299588164206,-0.023565203939565738,0.045422053139803964,0.009164124197182178,0.010994044892350008,0.5517241379310345,0.023682638816866993,-0.03895317808949228,0.07196860611773992,0.015974065118344035,0.006421232876712368,0.5517241379310345,0.0422110365315881,-0.055204785871432405,0.09759807350538197,0.026953453760161422,0.008216127284765617,0.6206896551724138,0.03173398414419364,-0.0807376200013813,0.1218508171186986,0.003430889949007831,0.0008602202648508861,0.5517241379310345,"quintile(full-sample, descriptive)",LL3_k0.30
premium_z90,Q3,28,0.9642857142857143,0.8228742388150135,0.9936676435024582,0.03571428571428571,0.00633235649754188,0.17712576118498663,0.9642857142857143,0.8228742388150135,0.9936676435024582,0.9642857142857143,0.8228742388150135,0.9936676435024582,0.8928571428571429,0.7280377463234293,0.9628823079452005,0.75,0.566439747592954,0.8732366505779922,0.017655355669355888,-0.03513741593815323,0.05067191601354032,0.01800332795566919,0.01018156659131908,0.6428571428571429,0.013575075513915522,-0.04372158085213629,0.05542472412792182,0.014372038896687252,0.011215167115109725,0.5714285714285714,0.0030007963005252635,-0.06561674906788584,0.11162094887507679,0.005320033011585548,0.008427150202003963,0.5357142857142857,0.0191043058721452,-0.07904308741547128,0.11979380176124516,0.024456565092144767,0.01053515563318319,0.5357142857142857,"quintile(full-sample, descriptive)",LL3_k0.30
premium_z90,Q4,29,1.0,0.8830264055344442,1.0,0.0,0.0,0.11697359446555587,0.9655172413793104,0.8282410893529976,0.9938869433859677,0.8620689655172413,0.6944064228730067,0.9450264914795217,0.7586206896551724,0.578920477816713,0.8778173181493787,0.5862068965517241,0.40737528478515245,0.7448706472035449,0.01231824547963582,-0.03582853486884208,0.050003226014581625,0.013946643138941648,0.003797896243860732,0.6206896551724138,-0.0013853184832884355,-0.041252103713605215,0.06290644135377599,0.0012380286266717973,0.003744613834799182,0.5172413793103449,-0.011004205953472344,-0.06663947381838575,0.07412833284500442,-0.006114883446783387,-0.003757471178132965,0.4827586206896552,0.017966809984951183,-0.07060185185185197,0.13515903445496757,0.026412918553762044,0.018751674256629935,0.5517241379310345,"quintile(full-sample, descriptive)",LL3_k0.30
premium_z90,Q5,29,1.0,0.8830264055344442,1.0,0.0,0.0,0.11697359446555587,1.0,0.8830264055344442,1.0,0.9310344827586207,0.7803505240414808,0.9808791359020055,0.8620689655172413,0.6944064228730067,0.9450264914795217,0.7586206896551724,0.578920477816713,0.8778173181493787,-0.021508039715630336,-0.04164750370483927,0.03676656290602809,-0.022404565635878136,-0.006600844684362173,0.3793103448275862,-0.022379824650702786,-0.04281751078244567,0.0437910471139753,-0.023926507342861943,-0.002815663193865614,0.4482758620689655,0.0004714847538414155,-0.0637061026265695,0.06653765050617544,-0.00347961110969401,0.03356770242685425,0.5517241379310345,0.022951623542256352,-0.09534855329019654,0.11034454157397233,0.016869316237458028,0.06069724455143355,0.6551724137931034,"quintile(full-sample, descriptive)",LL3_k0.30
oi_chg_1d,Q1,27,1.0,0.8754409628553641,1.0,0.0,6.938893903907228e-18,0.12455903714463581,1.0,0.8754409628553641,1.0,0.9629629629629629,0.8171614606584348,0.9934320234669025,0.8148148148148148,0.6330094349480825,0.9181941342571468,0.48148148148148145,0.3074295064970908,0.6601467541378958,0.007332665658490211,-0.027615211634376746,0.03852596314907886,0.008059482297561428,0.009875195392236913,0.5925925925925926,0.01656112814987651,-0.03074671831289011,0.05456277908676688,0.01785546310109947,0.009237351826593798,0.5555555555555556,0.012172974952258274,-0.06183489424944777,0.06290644135377599,0.014749587761870284,0.009487004424401424,0.5555555555555556,0.027990150541597612,-0.07097715119105508,0.11175201293091563,0.03330824781619199,0.03416796137307743,0.7407407407407407,"quintile(full-sample, descriptive)",LL3_k0.30
