symbol,weight,side,marketcap,adv_30d
ORDI,-0.0026595744680851063,short,913560457.5259417,17408871970.578754
ORN,-0.0026595744680851063,short,54972873.490233615,1187211.0989491013
OSETH,-0.0026595744680851063,short,167454930.85554078,9363107011.521282
OSMO,-0.0026595744680851063,short,429534633.393639,12645682.199657483
PAAL,-0.0026595744680851063,short,298724592.2916935,2872045.31088771
PENDLE,-0.0026595744680851063,short,951085073.5877266,996877269.4407477
PEOPLE,-0.0026595744680851063,short,337060683.17152727,24760098.240377527
PERP,-0.0026595744680851063,short,71049753.89549474,14546970.035851946
PHA,-0.0026595744680851063,short,133601283.4610108,2882346.1764893476
PIXEL,-0.0026595744680851063,short,198478178.23311558,18154993.357998677
PNUT,-0.0026595744680851063,short,1193273803.0158782,2984745374.2338524
POLS,-0.0026595744680851063,short,61914790.835559644,1573420.664024374
POLYX,-0.0026595744680851063,short,428447690.9417119,28587402.27083506
PORTAL,-0.0026595744680851063,short,71931069.38705017,16370351.164510163
POWR,-0.0026595744680851063,short,174638038.2523271,20588973.8680381
PRIME,-0.0026595744680851063,short,734538878.521221,345331383.9166813
PRO,-0.0026595744680851063,short,89253837.5043434,6155885.4154375475
PROM,-0.0026595744680851063,short,123402949.5120198,68022501.98430057
PROPC,-0.0026595744680851063,short,36785643.93441579,2082059.811638736
PSG,-0.0026595744680851063,short,19635648.59123717,28628029.483981587
PUFFER,-0.0026595744680851063,short,59148806.481951304,35016597.64198895
PUNDIX,-0.0026595744680851063,short,158288345.0125482,11883274.351244267
PYR,-0.0026595744680851063,short,96171824.09056045,73010610.84845835
PYTH,-0.0026595744680851063,short,1803413021.506284,96893855.68415968
PYUSD,-0.0026595744680851063,short,546236484.240149,47121770.52237194
QNT,-0.0026595744680851063,short,1440866291.4398336,7070054150.193498
QTUM,-0.0026595744680851063,short,413354309.593936,159037933.84435412
RAD,-0.0026595744680851063,short,78741647.16494957,46189376.983587705
RARE,-0.0026595744680851063,short,104507266.70662598,2410587.3644880867
RARI,-0.0026595744680851063,short,25912883.12500172,2266390.234710722
RAY,-0.0026595744680851063,short,1590390063.7735,1153062702.6892805
RDNT,-0.0026595744680851063,short,104954598.59588785,2743312.148795907
RENDER,-0.0026595744680851063,short,4595692671.474104,3275019214.1238456
RETH,-0.0026595744680851063,short,1913504666.16655,60493214105.32733
RLC,-0.0026595744680851063,short,175868417.5449771,38676162.529466964
RON,-0.0026595744680851063,short,805552856.6729459,79384580.42010365
ROSE,-0.0026595744680851063,short,724394383.5941912,6258715.219652399
RPL,-0.0026595744680851063,short,308619034.3975538,282048151.8023166
RUNE,-0.0026595744680851063,short,2103492835.7989502,3196899886.010009
